LicenseNumber,LicenseType,LicenseTypeSubCategory,LicenseCategoryNumber,LicenseStatus,LicenseSubStatus,BusinessName,DoingBusinessAs,LocationStreetAddress,LocationCity,LocationState,LocationZip,LocationCounty
022571800,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS PHARMACY #17202,,1183 WILLIAMS RESERVE BLVD.,WADSWORTH,OH,44281,Medina
022571850,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS PHARMACY #17239,,1144 STATE ROUTE 303,STREETSBORO,OH,44241,Portage
022571950,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS PHARMACY #17242,,18855 N. MARKET PLACE DRIVE,AURORA,OH,44202,Geauga
022572250,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS PHARMACY #17388,,9669 MENTOR AVENUE,MENTOR,OH,44060,Lake
022572350,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS PHARMACY #17411,,762 ARLINGTON RDG,AKRON,OH,44312,Summit
022572450,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS PHARMACY #17534,,6150 GLENWAY AVE.,CINCINNATI,OH,45211,Hamilton
022572500,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active, ,CVS PHARMACY #17574,,9099 PLAINFIELD RD.,BLUE ASH,OH,45236,Hamilton
022013950,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY  #3090,,3 NORTH CLEVELAND AVENUE,MOGADORE,OH,44260,Portage
022652950,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 11086,,210 EAST EMMITT AVENUE,WAVERLY,OH,45690,Pike
022570850,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 16165,,5225 MONROE ST.,TOLEDO,OH,43623,Lucas
022569750,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 16193,,6000 SAWMILL ROAD,DUBLIN,OH,43017,Franklin
022570150,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 16245,,6850 RIDGE ROAD,PARMA,OH,44129,Cuyahoga
022570000,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 16380,,18200 ROYALTON ROAD,STRONGSVILLE,OH,44136,Cuyahoga
022569900,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 16383,,270 AIRPORT PARKWAY,HEATH,OH,43056,Licking
022569850,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 16384,,1300 RIVER VALLEY BLVD.,LANCASTER,OH,43130,Fairfield
022570350,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 16453,,4199 MORSE CROSSING,COLUMBUS,OH,43219,Franklin
022570400,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 16469,,9841 WATERSTONE BLVD,CINCINNATI,OH,45249,Warren
022570600,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 16493,,2490 N. FAIRFIELD RD,BEAVERCREEK,OH,45431,Greene
022570550,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 16494,,5700 EXECUTIVE BLVD.,HUBER HEIGHTS,OH,45424,Montgomery
022570700,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 16570,,240 MARKET DR,ELYRIA,OH,44035,Lorain
022570800,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 16600,,2300 MIAMISBURG CENTERVILLE RD,DAYTON,OH,45459,Montgomery
022571050,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 16660,,9666 OLDE US 20,ROSSFORD,OH,43460,Wood
022571000,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 16666,,35830 DETROIT RD,AVON,OH,44011,Lorain
022571100,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 16720,,2205 WALKER LAKE RD,MANSFIELD,OH,44903,Richland
022572600,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 17057,,4341 FEEDWIRE ROAD,DAYTON,OH,45440,Greene
022571600,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 17085,,4211 TRUEMAN BLVD,HILLIARD,OH,43026,Franklin
022571500,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 17088,,3955 E BROAD ST.,WHITEHALL,OH,43213,Franklin
022571650,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 17109,,24646 BROOKPARK ROAD,NORTH OLMSTED,OH,44070,Cuyahoga
022571750,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 17174,,8100 E. BROAD STREET,REYNOLDSBURG,OH,43068,Franklin
022571900,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 17241,,4020 MILAN ROAD,SANDUSKY,OH,44870,Erie
022572100,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 17303,,3100 W. 117TH STREET,CLEVELAND,OH,44111,Cuyahoga
022572000,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 17305,,3535 STEELYARD DRIVE,CLEVELAND,OH,44109,Cuyahoga
022572050,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 17340,,20900 WESTGATE MALL,FAIRVIEW PARK,OH,44126,Cuyahoga
022572150,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 17416,,8000 OAK POINT ROAD,AMHERST,OH,44001,Lorain
022569800,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 17504,,2437 TAYLOR PARK DRIVE,REYNOLDSBURG,OH,43068,Franklin
022572400,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 17533,,400 CORWIN NIXON RD,SOUTH LEBANON,OH,45065,Warren
022572550,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 17666,,10560 SAWMILL PKWY,POWELL,OH,43065,Delaware
022013900,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 3088,,473 HIGH STREET,WADSWORTH,OH,44281,Medina
022014000,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 3094,,379 EAST MAIN STREET,NEWARK,OH,43055,Licking
022013450,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 6082,,4000 HAUCK ROAD,SHARONVILLE,OH,45241,Hamilton
022013500,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 6083,,28 NORTH BROOKWOOD AVENUE,HAMILTON,OH,45013,Butler
022013550,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 6084,,123 WEST SPRING STREET,OXFORD,OH,45056,Butler
022013650,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 6086,,605 COLUMBUS AVENUE,LEBANON,OH,45036,Warren
022013750,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 6089,,10534 HARRISON AVENUE,HARRISON,OH,45030,Hamilton
022013800,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 6090,,8872 COLUMBIA ROAD,MAINEVILLE,OH,45039,Warren
022013200,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 6101,,8560 WINTON ROAD,CINCINNATI,OH,45231,Hamilton
022013350,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 6105,,610 CHERRY STREET,BLANCHESTER,OH,45107,Clinton
022013400,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 6107,,8215 COLERAIN AVENUE,CINCINNATI,OH,45239,Hamilton
022012650,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 6126,,371 LUDLOW AVENUE,CINCINNATI,OH,45220,Hamilton
022012700,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 6129,,4110 HARRISON AVENUE,CHEVIOT,OH,45211,Hamilton
022012900,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 6136,,150 SOUTH MAIN STREET,FRANKLIN,OH,45005,Warren
022012950,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 6137,,2424 NORTH VERITY PKWY.,MIDDLETOWN,OH,45042,Butler
022012100,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 6138,,1205 EAST CENTRAL AVENUE,MIAMISBURG,OH,45342,Montgomery
022012150,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 6139,,710  NORTH MAIN STREET,SPRINGBORO,OH,45066,Warren
022012200,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 6141,,1001 EAST MAIN STREET,TROTWOOD,OH,45426,Montgomery
022012350,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 6145,,1300 NORTH BARRON STREET,EATON,OH,45320,Preble
022012500,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 6149,,1885 WEST HENDERSON ROAD,UPPER ARLINGTON,OH,43220,Franklin
022011600,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 6153,,2532 EAST MAIN STREET,COLUMBUS,OH,43209,Franklin
022011650,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 6155,,145 SOUTH STATE STREET,WESTERVILLE,OH,43081,Franklin
022011800,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 6161,,7470 SAWMILL ROAD,DUBLIN,OH,43016,Franklin
022011850,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 6162,,1202 COUNTY LINE ROAD,WESTERVILLE,OH,43081,Franklin
022011900,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 6163,,711 PARK ROAD,WORTHINGTON,OH,43085,Franklin
022012050,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 6167,,418 EAST MAIN STREET,ASHLAND,OH,44805,Ashland
022010850,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 6185,,1100 HILL ROAD  NORTH,PICKERINGTON,OH,43147,Fairfield
021632650,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #00396,,200 E. BROADWAY,GRANVILLE,OH,43023,Licking
022354300,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #10209,,3761 Massillon Rd,Uniontown,OH,44685-7730,Summit
022348950,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #10246,,4121 MONROE STREET,TOLEDO,OH,43606,Lucas
022351700,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #10248,,212 E. WOOSTER STREET,BOWLING GREEN,OH,43402,Wood
022444450,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #10372,,2210 TUSCARAWAS ST. W,CANTON,OH,44708,Stark
022444400,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #10457,,7510 SYLVANIA AVENUE,SYLVANIA,OH,43560,Lucas
022794950,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #10893,,5812 RIDGE ROAD,PARMA,OH,44129,Cuyahoga
022801650,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #11155,,2104 S. BYRNE ROAD,TOLEDO,OH,43614,Lucas
022833400,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #11213,,126 N. MAIN STREET,BLUFFTON,OH,45817,Allen
021627350,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #1223,,3575 BROADWAY,GROVE CITY,OH,43123,Franklin
022570300,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #16443,,1717 OLENTANGY RIVER ROAD,COLUMBUS,OH,43212,Franklin
022570750,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #16590,,1485 POLARIS PKWY,COLUMBUS,OH,43240,Delaware
022571550,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #17094,,55 GRACELAND BLVD,COLUMBUS,OH,43214,Franklin
022571700,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #17136,,1980 LINCOLN WAY E,MASSILLON,OH,44646,Stark
022572300,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #17158,,4144 BUCKEYE PKWY,GROVE CITY,OH,43123,Franklin
022572200,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #17422,,1970 HILLIARD ROME ROAD,HILLIARD,OH,43026,Franklin
022014750,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #1756,,8467 EAST MAIN STREET,REYNOLDSBURG,OH,43068,Licking
022120950,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #2063,,"7292 FULTON DRIVE, N.W.",CANTON,OH,44718,Stark
022015500,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #2342,,7217 CINCINNATI -DAYTON ROAD,WEST CHESTER,OH,45069,Butler
022023850,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #2345,,513 EAST MONROE STREET,SANDUSKY,OH,44870,Erie
022014850,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #2381,,9151 S Old State Rd,Lewis Center,OH,43035-9496,Delaware
022129950,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #2385,,1339 NORTH MAIN STREET,NORTH CANTON,OH,44720,Stark
022014900,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #2394,,1013 WASHINGTON BLVD,BELPRE,OH,45714,Washington
022014950,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #2405,,955 NORTH 21ST STREET,NEWARK,OH,43055,Licking
022015000,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #2469,,625 DOVER CENTER ROAD,BAY VILLAGE,OH,44140,Cuyahoga
022015050,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #2486,,1331 YOUNGSTOWN-WARREN ROAD,NILES,OH,44446,Trumbull
022014250,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #2518,,2160 NORTH HIGH STREET,COLUMBUS,OH,43201,Franklin
022014300,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #2528,,2801 FAR HILLS AVENUE,OAKWOOD,OH,45419,Montgomery
022014350,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #2540,,4961 ROBERTS ROAD,HILLIARD,OH,43026,Franklin
022014400,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #2543,,601 EAST MAIN STREET,CANFIELD,OH,44406,Mahoning
022014450,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #2587,,27713 LORAIN ROAD,NORTH OLMSTED,OH,44070,Cuyahoga
022014500,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #2588,,36008 DETROIT AVENUE,AVON,OH,44011,Lorain
022014550,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #2677,,175 WEST MAIN STREET,NEW ALBANY,OH,43054,Franklin
022014600,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #2715,,17 WILLIAM H. TAFT ROAD,CINCINNATI,OH,45219,Hamilton
022014650,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #2735,,4280 MORSE ROAD,COLUMBUS,OH,43230,Franklin
022014700,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #2764,,7314 MONTGOMERY ROAD,CINCINNATI,OH,45236,Hamilton
022018350,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #2840,,5525 PARKSIDE DRIVE,MASON,OH,45040,Warren
021319750,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #2964,,6632 S. STATE ROUTE 48,MAINEVILLE,OH,45039,Warren
020134000,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #3028,,14372 SNOW ROAD,BROOKPARK,OH,44142,Cuyahoga
020124650,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #3032,,4961 MONTICELLO BLVD,RICHMOND HEIGHTS,OH,44143,Cuyahoga
020093800,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #3035,,212 WEST BAGLEY ROAD,BEREA,OH,44017,Cuyahoga
020129350,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #3041,,235 EAST CUYAHOGA FALLS AVENUE,AKRON,OH,44310,Summit
020393200,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #3044,,134 YOUNGSTOWN-HUBBARD RD,HUBBARD,OH,44425,Trumbull
021038300,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #3080,,4996 BRANDT PIKE,HUBER HEIGHTS,OH,45424,Montgomery
022018100,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #3092,,1410 CLEVELAND-MASSILLON ROAD,COPLEY,OH,44321,Summit
020806350,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #3169,,170 EAST MAIN STREET,GENEVA,OH,44041,Ashtabula
021050550,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #3174,,1370 WEST MAIN STREET,NEWARK,OH,43055,Licking
020828950,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #3183,,116 AINSWORTH STREET,LODI,OH,44254,Medina
020983100,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #3238,,1500 LOCKBOURNE ROAD,COLUMBUS,OH,43206,Franklin
020930450,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #3246,,4840 GLENWAY AVENUE,CINCINNATI,OH,45238,Hamilton
020115950,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #3301,,28100 CHAGRIN BLVD,WOODMERE,OH,44122,Cuyahoga
020110650,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #3302,,7230 MARKET STREET,BOARDMAN,OH,44512,Mahoning
020100750,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #3304,,"3933 PARKMAN ROAD, N.W.",WARREN,OH,44481,Trumbull
020089150,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #3306,,1949 W. MARKET STREET,AKRON,OH,44313,Summit
020110300,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #3312,,703 W. ERVIN STREET,VAN WERT,OH,45891,Van Wert
020114800,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #3317,,296 CENTER STREET,CHARDON,OH,44024,Geauga
020088750,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #3320,,426 ROBINSON AVENUE,BARBERTON,OH,44203,Summit
020129150,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #3321,,2284 BACK ORRVILLE ROAD,WOOSTER,OH,44691,Wayne
020143850,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #3322,,2007 BROOKPARK ROAD,CLEVELAND,OH,44109,Cuyahoga
020140500,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #3326,,9040 MENTOR AVENUE,MENTOR,OH,44060,Lake
