LicenseNumber,LicenseType,LicenseTypeSubCategory,LicenseCategoryNumber,LicenseStatus,BusinessName,DoingBusinessAs,LocationStreetAddress,LocationCity,LocationState,LocationZip,LocationCounty,Geo,Full Address,ZCTA5,GEOID,votes_dem,votes_rep,pct_dem_lead
22571150,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS PHARMACY #16732,,100 RIVERS EDGE,MILFORD,OH,45150,Clermont,"(39.1627157, -84.2750021)","100 RIVERS EDGE, MILFORD, OH 45150",45150,39025-MILFORD CITY E,221,229,-1.7
22571200,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS PHARMACY #16779,,3245 Geier Dr,Cincinnati,OH,45209-5009,Hamilton,"(39.1614621, -84.4256369)","3245 Geier Dr, Cincinnati, OH 45209-5009",45209,39061-CINCINNATI 02-C,833,283,48.1
22571250,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS PHARMACY #16795,,417 BOARDMAN POLAND RD,BOARDMAN,OH,44512,Mahoning,"(41.0206241, -80.64639179999999)","417 BOARDMAN POLAND RD, BOARDMAN, OH 44512",44512,39099-BOARDMAN 01,398,449,-6
22572650,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS PHARMACY #16864,,7644 Voice Of America Centre Dr,West Chester,OH,45069-2794,Butler,"(39.3560745, -84.3609413)","7644 Voice Of America Centre Dr, West Chester, OH 45069-2794",45069,39017-WEST CHESTER TWP 11,433,562,-12.8
22571300,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS PHARMACY #16873,,9040 COLERAIN AVE.,CINCINNATI,OH,45251,Hamilton,"(39.2357197, -84.5886745)","9040 COLERAIN AVE., CINCINNATI, OH 45251",45251,39061-COLERAIN C,425,433,-0.9
22571350,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS PHARMACY #16927,,14070 CEDAR RD,UNIVERSITY HEIGHTS,OH,44118,Cuyahoga,"(41.4998914, -81.5338173)","14070 CEDAR RD, UNIVERSITY HEIGHTS, OH 44118",44118,39035-UNIVERSITY HEIGHTS F,483,180,45.5
22571400,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS PHARMACY #16962,,8282 GOLDEN LINK BLVD,NORTHFIELD,OH,44067,Summit,"(41.3113685, -81.527757)","8282 GOLDEN LINK BLVD, NORTHFIELD, OH 44067",44067,39153-NORTHFIELD CENTER TWP D,287,375,-13.3
22571450,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS PHARMACY #17063,,3369 PRINCETON RD,HAMILTON,OH,45011,Butler,"(39.3878194, -84.50468529999999)","3369 PRINCETON RD, HAMILTON, OH 45011",45011,39017-FAIRFIELD TWP 06,324,546,-25.1
22571800,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS PHARMACY #17202,,1183 WILLIAMS RESERVE BLVD.,WADSWORTH,OH,44281,Medina,"(41.0399663, -81.6903005)","1183 WILLIAMS RESERVE BLVD., WADSWORTH, OH 44281",44281,39103-WADSWORTH CITY 2-D,392,512,-13.1
22571850,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS PHARMACY #17239,,1144 STATE ROUTE 303,STREETSBORO,OH,44241,Portage,"(41.2369711, -81.35331409999999)","1144 STATE ROUTE 303, STREETSBORO, OH 44241",44241,39133-STREETSBORO 4-B,313,416,-14
22571950,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS PHARMACY #17242,,18855 N. MARKET PLACE DRIVE,AURORA,OH,44202,Geauga,"(41.3570181, -81.3865094)","18855 N. MARKET PLACE DRIVE, AURORA, OH 44202",44202,39055-BAINBRIDGE TWP F,357,420,-8
22572250,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS PHARMACY #17388,,9669 MENTOR AVENUE,MENTOR,OH,44060,Lake,"(41.6861037, -81.2941214)","9669 MENTOR AVENUE, MENTOR, OH 44060",44060,39085-MENTOR CITY 1D,442,619,-16.6
22572350,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS PHARMACY #17411,,762 ARLINGTON RDG,AKRON,OH,44312,Summit,"(40.9841133, -81.49602929999999)","762 ARLINGTON RDG, AKRON, OH 44312",44319,39153-GREEN 4-A,340,411,-9.3
22572450,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS PHARMACY #17534,,6150 GLENWAY AVE.,CINCINNATI,OH,45211,Hamilton,"(39.1451432, -84.6201131)","6150 GLENWAY AVE., CINCINNATI, OH 45211",45211,39061-CINCINNATI 26-K,602,294,33.8
22572500,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS PHARMACY #17574,,9099 PLAINFIELD RD.,BLUE ASH,OH,45236,Hamilton,"(39.2244564, -84.3947891)","9099 PLAINFIELD RD., BLUE ASH, OH 45236",45236,39061-SYCAMORE L,368,580,-22
22013950,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY  #3090,,3 NORTH CLEVELAND AVENUE,MOGADORE,OH,44260,Portage,"(41.0514208, -81.3925642)","3 NORTH CLEVELAND AVENUE, MOGADORE, OH 44260",44260,39133-MOGADORE VLG,253,315,-10.7
22652950,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY # 11086,,210 EAST EMMITT AVENUE,WAVERLY,OH,45690,Pike,"(39.1279856, -82.9833804)","210 EAST EMMITT AVENUE, WAVERLY, OH 45690",45690,39131-WAVERLY WARD 3 WAVERLY,134,274,-33.7
22570850,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY # 16165,,5225 MONROE ST.,TOLEDO,OH,43623,Lucas,"(41.6989335, -83.65429309999999)","5225 MONROE ST., TOLEDO, OH 43623",43623,39095-SYLVANIA TWP G,434,411,2.7
22569750,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY # 16193,,6000 SAWMILL ROAD,DUBLIN,OH,43017,Franklin,"(40.0898349, -83.089484)","6000 SAWMILL ROAD, DUBLIN, OH 43017",43017,39049-COLUMBUS 60-G,863,467,29.2
22570150,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY # 16245,,6850 RIDGE ROAD,PARMA,OH,44129,Cuyahoga,"(41.3781056, -81.7361076)","6850 RIDGE ROAD, PARMA, OH 44129",44129,39035-PARMA 5-B,449,473,-2.6
22570000,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY # 16380,,18200 ROYALTON ROAD,STRONGSVILLE,OH,44136,Cuyahoga,"(41.3171134, -81.8280719)","18200 ROYALTON ROAD, STRONGSVILLE, OH 44136",44136,39035-STRONGSVILLE 1-G,405,421,-1.9
22569900,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY # 16383,,270 AIRPORT PARKWAY,HEATH,OH,43056,Licking,"(40.0228421, -82.44459909999999)","270 AIRPORT PARKWAY, HEATH, OH 43056",43056,39089-HEATH 2-A,243,557,-38.9
22569850,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY # 16384,,1300 RIVER VALLEY BLVD.,LANCASTER,OH,43130,Fairfield,"(39.730156, -82.62137059999999)","1300 RIVER VALLEY BLVD., LANCASTER, OH 43130",43130,39045-LANCASTER CITY 1-E,245,414,-25.2
22570350,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY # 16453,,4199 MORSE CROSSING,COLUMBUS,OH,43219,Franklin,"(40.0565637, -82.9214143)","4199 MORSE CROSSING, COLUMBUS, OH 43219",43219,39049-COLUMBUS 83-A,571,108,67.9
22570400,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY # 16469,,9841 WATERSTONE BLVD,CINCINNATI,OH,45249,Warren,"(39.2961262, -84.30472669999999)","9841 WATERSTONE BLVD, CINCINNATI, OH 45249",45249,39165-DEERFIELD TWP X,390,476,-9.8
22570600,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY # 16493,,2490 N. FAIRFIELD RD,BEAVERCREEK,OH,45431,Greene,"(39.7617625, -84.0506352)","2490 N. FAIRFIELD RD, BEAVERCREEK, OH 45431",45431,39057-BEAVERCREEK 022,546,522,2.2
22570550,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY # 16494,,5700 EXECUTIVE BLVD.,HUBER HEIGHTS,OH,45424,Montgomery,"(39.8707978, -84.1333867)","5700 EXECUTIVE BLVD., HUBER HEIGHTS, OH 45424",45424,39113-HUBER HEIGHTS 2-A,240,247,-1.4
22570700,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY # 16570,,240 MARKET DR,ELYRIA,OH,44035,Lorain,"(41.3887892, -82.1093005)","240 MARKET DR, ELYRIA, OH 44035",44035,39093-ELYRIA CITY 2-C,444,337,13.5
22570800,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY # 16600,,2300 MIAMISBURG CENTERVILLE RD,DAYTON,OH,45459,Montgomery,"(39.6326847, -84.21359439999999)","2300 MIAMISBURG CENTERVILLE RD, DAYTON, OH 45459",45459,39113-MIAMI A,327,491,-19.6
22571050,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY # 16660,,9666 OLDE US 20,ROSSFORD,OH,43460,Wood,"(41.5419605, -83.5830809)","9666 OLDE US 20, ROSSFORD, OH 43460",43551,39173-PERRYSBURG TWP GLENWOOD,343,432,-11.2
22571000,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY # 16666,,35830 DETROIT RD,AVON,OH,44011,Lorain,"(41.46220599999999, -82.00963229999999)","35830 DETROIT RD, AVON, OH 44011",44011,39093-AVON CITY 2-A,598,535,5.5
22571100,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY # 16720,,2205 WALKER LAKE RD,MANSFIELD,OH,44903,Richland,"(40.7857864, -82.59396939999999)","2205 WALKER LAKE RD, MANSFIELD, OH 44903",44903,39139-ONTARIO 1-A,281,538,-30.9
22572600,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY # 17057,,4341 FEEDWIRE ROAD,DAYTON,OH,45440,Greene,"(39.658209, -84.10472)","4341 FEEDWIRE ROAD, DAYTON, OH 45440",45440,39057-SUGARCREEK 150,386,353,4.4
22571600,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY # 17085,,4211 TRUEMAN BLVD,HILLIARD,OH,43026,Franklin,"(40.0384665, -83.123851)","4211 TRUEMAN BLVD, HILLIARD, OH 43026",43026,39049-HILLIARD 2-B,590,420,16.7
22571500,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY # 17088,,3955 E BROAD ST.,WHITEHALL,OH,43213,Franklin,"(39.971494, -82.89552499999999)","3955 E BROAD ST., WHITEHALL, OH 43213",43213,39049-WHITEHALL 2-C,477,89,67.2
22571650,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY # 17109,,24646 BROOKPARK ROAD,NORTH OLMSTED,OH,44070,Cuyahoga,"(41.4200332, -81.89448999999999)","24646 BROOKPARK ROAD, NORTH OLMSTED, OH 44070",44070,39035-NORTH OLMSTED 4-B,379,281,14.7
22571750,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY # 17174,,8100 E. BROAD STREET,REYNOLDSBURG,OH,43068,Franklin,"(39.9884716, -82.7847651)","8100 E. BROAD STREET, REYNOLDSBURG, OH 43068",43068,39049-COLUMBUS 46-M,367,132,46.5
22571900,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY # 17241,,4020 MILAN ROAD,SANDUSKY,OH,44870,Erie,"(41.4208463, -82.6746465)","4020 MILAN ROAD, SANDUSKY, OH 44870",44870,39043-PERKINS TWP 02,391,623,-22.5
22572100,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY # 17303,,3100 W. 117TH STREET,CLEVELAND,OH,44111,Cuyahoga,"(41.4679859, -81.7716954)","3100 W. 117TH STREET, CLEVELAND, OH 44111",44111,39035-CLEVELAND 11-N,184,57,52.5
22572000,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY # 17305,,3535 STEELYARD DRIVE,CLEVELAND,OH,44109,Cuyahoga,"(41.45812189999999, -81.68876060000001)","3535 STEELYARD DRIVE, CLEVELAND, OH 44109",44109,39035-CLEVELAND 12-S,166,62,45.2
22572050,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY # 17340,,20900 WESTGATE MALL,FAIRVIEW PARK,OH,44126,Cuyahoga,"(41.4578013, -81.85095179999999)","20900 WESTGATE MALL, FAIRVIEW PARK, OH 44126",44126,39035-FAIRVIEW PARK 2-A,99,84,8.1
22572150,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY # 17416,,8000 OAK POINT ROAD,AMHERST,OH,44001,Lorain,"(41.4131195, -82.242541)","8000 OAK POINT ROAD, AMHERST, OH 44001",44001,39093-AMHERST CITY 1-A,446,567,-11.9
22569800,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY # 17504,,2437 TAYLOR PARK DRIVE,REYNOLDSBURG,OH,43068,Franklin,"(39.9340766, -82.7931875)","2437 TAYLOR PARK DRIVE, REYNOLDSBURG, OH 43068",43068,39045-VIOLET A,463,288,23.1
22572400,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY # 17533,,400 CORWIN NIXON RD,SOUTH LEBANON,OH,45065,Warren,"(39.3788934, -84.219138)","400 CORWIN NIXON RD, SOUTH LEBANON, OH 45065",45065,39165-UNION TWP A,302,655,-36.5
22572550,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY # 17666,,10560 SAWMILL PKWY,POWELL,OH,43065,Delaware,"(40.1425144, -83.0952076)","10560 SAWMILL PKWY, POWELL, OH 43065",43065,39041-LIBERTY G,561,486,7
22013900,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY # 3088,,473 HIGH STREET,WADSWORTH,OH,44281,Medina,"(41.0354773, -81.7282034)","473 HIGH STREET, WADSWORTH, OH 44281",44281,39103-WADSWORTH CITY 2-B,274,311,-6.2
22014000,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY # 3094,,379 EAST MAIN STREET,NEWARK,OH,43055,Licking,"(40.0588564, -82.3859943)","379 EAST MAIN STREET, NEWARK, OH 43055",43055,39089-NEWARK 1-A,356,699,-32.1
22013450,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY # 6082,,4000 HAUCK ROAD,SHARONVILLE,OH,45241,Hamilton,"(39.2911056, -84.3937302)","4000 HAUCK ROAD, SHARONVILLE, OH 45241",45241,39061-SHARONVILLE 2-A,443,426,1.9
22013500,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY # 6083,,28 NORTH BROOKWOOD AVENUE,HAMILTON,OH,45013,Butler,"(39.4208895, -84.5895524)","28 NORTH BROOKWOOD AVENUE, HAMILTON, OH 45013",45013,39017-HAMILTON CITY 1-07,348,789,-38.3
22013550,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY # 6084,,123 WEST SPRING STREET,OXFORD,OH,45056,Butler,"(39.5069571, -84.7450334)","123 WEST SPRING STREET, OXFORD, OH 45056",45056,39017-OXFORD CITY 08,333,99,53.2
22013650,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY # 6086,,605 COLUMBUS AVENUE,LEBANON,OH,45036,Warren,"(39.4415372, -84.1955168)","605 COLUMBUS AVENUE, LEBANON, OH 45036",45036,39165-LEBANON CITY G,179,369,-34.2
22013750,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY # 6089,,10534 HARRISON AVENUE,HARRISON,OH,45030,Hamilton,"(39.2521383, -84.7920484)","10534 HARRISON AVENUE, HARRISON, OH 45030",45030,39061-HARRISON C,246,770,-50.9
22013800,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY # 6090,,8872 COLUMBIA ROAD,MAINEVILLE,OH,45039,Warren,"(39.3072244, -84.2797674)","8872 COLUMBIA ROAD, MAINEVILLE, OH 45039",45039,39165-DEERFIELD TWP R,278,307,-4.8
22013200,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY # 6101,,8560 WINTON ROAD,CINCINNATI,OH,45231,Hamilton,"(39.223038, -84.5163867)","8560 WINTON ROAD, CINCINNATI, OH 45231",45231,39061-SPRINGFIELD U,658,397,24.3
22013350,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY # 6105,,610 CHERRY STREET,BLANCHESTER,OH,45107,Clinton,"(39.2947717, -83.98116399999999)","610 CHERRY STREET, BLANCHESTER, OH 45107",45107,39027-BLANCHESTER B,67,289,-60.7
22013400,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY # 6107,,8215 COLERAIN AVENUE,CINCINNATI,OH,45239,Hamilton,"(39.2203886, -84.5873345)","8215 COLERAIN AVENUE, CINCINNATI, OH 45239",45239,39061-COLERAIN V,346,458,-13.8
22012650,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY # 6126,,371 LUDLOW AVENUE,CINCINNATI,OH,45220,Hamilton,"(39.1434315, -84.5223628)","371 LUDLOW AVENUE, CINCINNATI, OH 45220",45220,39061-CINCINNATI 15-E,865,88,80.1
22012700,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY # 6129,,4110 HARRISON AVENUE,CHEVIOT,OH,45211,Hamilton,"(39.1584218, -84.61894389999999)","4110 HARRISON AVENUE, CHEVIOT, OH 45211",45211,39061-CHEVIOT 4-A,554,477,7.3
22012900,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY # 6136,,150 SOUTH MAIN STREET,FRANKLIN,OH,45005,Warren,"(39.5625086, -84.3019901)","150 SOUTH MAIN STREET, FRANKLIN, OH 45005",45005,39165-FRANKLIN CITY D,105,312,-49.3
22012950,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY # 6137,,2424 NORTH VERITY PKWY.,MIDDLETOWN,OH,45042,Butler,"(39.5268624, -84.3813921)","2424 NORTH VERITY PKWY., MIDDLETOWN, OH 45042",45042,39017-MIDDLETOWN CITY 1-06,97,250,-43.5
22012100,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY # 6138,,1205 EAST CENTRAL AVENUE,MIAMISBURG,OH,45342,Montgomery,"(39.6413159, -84.26947419999999)","1205 EAST CENTRAL AVENUE, MIAMISBURG, OH 45342",45342,39113-MIAMISBURG 3-A,324,588,-28.3
22012150,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY # 6139,,710  NORTH MAIN STREET,SPRINGBORO,OH,45066,Warren,"(39.5754993, -84.2302845)","710  NORTH MAIN STREET, SPRINGBORO, OH 45066",45066,39165-SPRINGBORO CITY 1-A,360,585,-23.7
22012200,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY # 6141,,1001 EAST MAIN STREET,TROTWOOD,OH,45426,Montgomery,"(39.7979899, -84.29202169999999)","1001 EAST MAIN STREET, TROTWOOD, OH 45426",45426,39113-TROTWOOD 4-A,763,86,79.2
22012350,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY # 6145,,1300 NORTH BARRON STREET,EATON,OH,45320,Preble,"(39.7589233, -84.6353389)","1300 NORTH BARRON STREET, EATON, OH 45320",45320,39135-EATON 7,167,463,-46.5
22012500,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY # 6149,,1885 WEST HENDERSON ROAD,UPPER ARLINGTON,OH,43220,Franklin,"(40.05442559999999, -83.0697194)","1885 WEST HENDERSON ROAD, UPPER ARLINGTON, OH 43220",43220,39049-UPPER ARLINGTON 6-B,514,279,29.2
22011600,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY # 6153,,2532 EAST MAIN STREET,COLUMBUS,OH,43209,Franklin,"(39.95720439999999, -82.93133929999999)","2532 EAST MAIN STREET, COLUMBUS, OH 43209",43209,39049-BEXLEY 3-C,499,148,54
22011650,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY # 6155,,145 SOUTH STATE STREET,WESTERVILLE,OH,43081,Franklin,"(40.1220453, -82.9304078)","145 SOUTH STATE STREET, WESTERVILLE, OH 43081",43081,39049-WESTERVILLE 5-A,441,204,36.4
22011800,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY # 6161,,7470 SAWMILL ROAD,DUBLIN,OH,43016,Franklin,"(40.118337, -83.0895949)","7470 SAWMILL ROAD, DUBLIN, OH 43016",43016,39049-COLUMBUS 74-F,466,216,35.6
22011850,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY # 6162,,1202 COUNTY LINE ROAD,WESTERVILLE,OH,43081,Franklin,"(40.1325714, -82.88652119999999)","1202 COUNTY LINE ROAD, WESTERVILLE, OH 43081",43082,39041-WESTERVILLE CITY C,433,310,16.2
22011900,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY # 6163,,711 PARK ROAD,WORTHINGTON,OH,43085,Franklin,"(40.1257524, -82.9808439)","711 PARK ROAD, WORTHINGTON, OH 43085",43085,39049-COLUMBUS 80-D,522,307,25.5
22012050,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS/PHARMACY # 6167,,418 EAST MAIN STREET,ASHLAND,OH,44805,Ashland,"(40.8682143, -82.30687160000001)","418 EAST MAIN STREET, ASHLAND, OH 44805",44805,39005-ASHLAND CITY 3-D,112,260,-38.4
