LicenseNumber,LicenseType,LicenseTypeSubCategory,LicenseCategoryNumber,LicenseStatus,LicenseSubStatus,BusinessName,DoingBusinessAs,LocationStreetAddress,LocationCity,LocationState,LocationZip,LocationCounty,Geo,Full Address
22572450,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS PHARMACY #17534,,6150 GLENWAY AVE.,CINCINNATI,OH,45211,Hamilton,"(39.1451432, -84.6201131)","6150 GLENWAY AVE., CINCINNATI, OH 45211"
22572500,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active, ,CVS PHARMACY #17574,,9099 PLAINFIELD RD.,BLUE ASH,OH,45236,Hamilton,"(39.2244564, -84.3947891)","9099 PLAINFIELD RD., BLUE ASH, OH 45236"
22013950,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY  #3090,,3 NORTH CLEVELAND AVENUE,MOGADORE,OH,44260,Portage,"(41.0514208, -81.3925642)","3 NORTH CLEVELAND AVENUE, MOGADORE, OH 44260"
22652950,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 11086,,210 EAST EMMITT AVENUE,WAVERLY,OH,45690,Pike,"(39.1279856, -82.9833804)","210 EAST EMMITT AVENUE, WAVERLY, OH 45690"
22570850,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 16165,,5225 MONROE ST.,TOLEDO,OH,43623,Lucas,"(41.6989335, -83.65429309999999)","5225 MONROE ST., TOLEDO, OH 43623"
22569750,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 16193,,6000 SAWMILL ROAD,DUBLIN,OH,43017,Franklin,"(40.0898349, -83.089484)","6000 SAWMILL ROAD, DUBLIN, OH 43017"
22570150,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 16245,,6850 RIDGE ROAD,PARMA,OH,44129,Cuyahoga,"(41.3781056, -81.7361076)","6850 RIDGE ROAD, PARMA, OH 44129"
22570000,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 16380,,18200 ROYALTON ROAD,STRONGSVILLE,OH,44136,Cuyahoga,"(41.3171134, -81.8280719)","18200 ROYALTON ROAD, STRONGSVILLE, OH 44136"
22569900,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 16383,,270 AIRPORT PARKWAY,HEATH,OH,43056,Licking,"(40.0228421, -82.44459909999999)","270 AIRPORT PARKWAY, HEATH, OH 43056"
22569850,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 16384,,1300 RIVER VALLEY BLVD.,LANCASTER,OH,43130,Fairfield,"(39.730156, -82.62137059999999)","1300 RIVER VALLEY BLVD., LANCASTER, OH 43130"
22570350,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 16453,,4199 MORSE CROSSING,COLUMBUS,OH,43219,Franklin,"(40.0565637, -82.9214143)","4199 MORSE CROSSING, COLUMBUS, OH 43219"
22570400,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 16469,,9841 WATERSTONE BLVD,CINCINNATI,OH,45249,Warren,"(39.2961262, -84.30472669999999)","9841 WATERSTONE BLVD, CINCINNATI, OH 45249"
22570600,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 16493,,2490 N. FAIRFIELD RD,BEAVERCREEK,OH,45431,Greene,"(39.7617625, -84.0506352)","2490 N. FAIRFIELD RD, BEAVERCREEK, OH 45431"
22570550,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 16494,,5700 EXECUTIVE BLVD.,HUBER HEIGHTS,OH,45424,Montgomery,"(39.8707978, -84.1333867)","5700 EXECUTIVE BLVD., HUBER HEIGHTS, OH 45424"
22570700,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 16570,,240 MARKET DR,ELYRIA,OH,44035,Lorain,"(41.3887892, -82.1093005)","240 MARKET DR, ELYRIA, OH 44035"
22570800,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 16600,,2300 MIAMISBURG CENTERVILLE RD,DAYTON,OH,45459,Montgomery,"(39.6326847, -84.21359439999999)","2300 MIAMISBURG CENTERVILLE RD, DAYTON, OH 45459"
22571050,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 16660,,9666 OLDE US 20,ROSSFORD,OH,43460,Wood,"(41.5419605, -83.5830809)","9666 OLDE US 20, ROSSFORD, OH 43460"
22571000,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 16666,,35830 DETROIT RD,AVON,OH,44011,Lorain,"(41.46220599999999, -82.00963229999999)","35830 DETROIT RD, AVON, OH 44011"
22571100,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 16720,,2205 WALKER LAKE RD,MANSFIELD,OH,44903,Richland,"(40.7857864, -82.59396939999999)","2205 WALKER LAKE RD, MANSFIELD, OH 44903"
22572600,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 17057,,4341 FEEDWIRE ROAD,DAYTON,OH,45440,Greene,"(39.658209, -84.10472)","4341 FEEDWIRE ROAD, DAYTON, OH 45440"
22571600,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 17085,,4211 TRUEMAN BLVD,HILLIARD,OH,43026,Franklin,"(40.0384665, -83.123851)","4211 TRUEMAN BLVD, HILLIARD, OH 43026"
22571500,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 17088,,3955 E BROAD ST.,WHITEHALL,OH,43213,Franklin,"(39.971494, -82.89552499999999)","3955 E BROAD ST., WHITEHALL, OH 43213"
22571650,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 17109,,24646 BROOKPARK ROAD,NORTH OLMSTED,OH,44070,Cuyahoga,"(41.4200332, -81.89448999999999)","24646 BROOKPARK ROAD, NORTH OLMSTED, OH 44070"
22571750,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 17174,,8100 E. BROAD STREET,REYNOLDSBURG,OH,43068,Franklin,"(39.9884716, -82.7847651)","8100 E. BROAD STREET, REYNOLDSBURG, OH 43068"
22571900,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 17241,,4020 MILAN ROAD,SANDUSKY,OH,44870,Erie,"(41.4208463, -82.6746465)","4020 MILAN ROAD, SANDUSKY, OH 44870"
22572100,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 17303,,3100 W. 117TH STREET,CLEVELAND,OH,44111,Cuyahoga,"(41.4679859, -81.7716954)","3100 W. 117TH STREET, CLEVELAND, OH 44111"
22572000,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 17305,,3535 STEELYARD DRIVE,CLEVELAND,OH,44109,Cuyahoga,"(41.45812189999999, -81.68876060000001)","3535 STEELYARD DRIVE, CLEVELAND, OH 44109"
22572050,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 17340,,20900 WESTGATE MALL,FAIRVIEW PARK,OH,44126,Cuyahoga,"(41.4578013, -81.85095179999999)","20900 WESTGATE MALL, FAIRVIEW PARK, OH 44126"
22572150,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 17416,,8000 OAK POINT ROAD,AMHERST,OH,44001,Lorain,"(41.4131195, -82.242541)","8000 OAK POINT ROAD, AMHERST, OH 44001"
22569800,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 17504,,2437 TAYLOR PARK DRIVE,REYNOLDSBURG,OH,43068,Franklin,"(39.9340766, -82.7931875)","2437 TAYLOR PARK DRIVE, REYNOLDSBURG, OH 43068"
22572400,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 17533,,400 CORWIN NIXON RD,SOUTH LEBANON,OH,45065,Warren,"(39.3788934, -84.219138)","400 CORWIN NIXON RD, SOUTH LEBANON, OH 45065"
22572550,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 17666,,10560 SAWMILL PKWY,POWELL,OH,43065,Delaware,"(40.1425144, -83.0952076)","10560 SAWMILL PKWY, POWELL, OH 43065"
22013900,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 3088,,473 HIGH STREET,WADSWORTH,OH,44281,Medina,"(41.0354773, -81.7282034)","473 HIGH STREET, WADSWORTH, OH 44281"
22014000,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 3094,,379 EAST MAIN STREET,NEWARK,OH,43055,Licking,"(40.0588564, -82.3859943)","379 EAST MAIN STREET, NEWARK, OH 43055"
22013450,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 6082,,4000 HAUCK ROAD,SHARONVILLE,OH,45241,Hamilton,"(39.2911056, -84.3937302)","4000 HAUCK ROAD, SHARONVILLE, OH 45241"
22013500,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 6083,,28 NORTH BROOKWOOD AVENUE,HAMILTON,OH,45013,Butler,"(39.4208895, -84.5895524)","28 NORTH BROOKWOOD AVENUE, HAMILTON, OH 45013"
22013550,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 6084,,123 WEST SPRING STREET,OXFORD,OH,45056,Butler,"(39.5069571, -84.7450334)","123 WEST SPRING STREET, OXFORD, OH 45056"
22013650,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 6086,,605 COLUMBUS AVENUE,LEBANON,OH,45036,Warren,"(39.4415372, -84.1955168)","605 COLUMBUS AVENUE, LEBANON, OH 45036"
22013750,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 6089,,10534 HARRISON AVENUE,HARRISON,OH,45030,Hamilton,"(39.2521383, -84.7920484)","10534 HARRISON AVENUE, HARRISON, OH 45030"
22013800,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 6090,,8872 COLUMBIA ROAD,MAINEVILLE,OH,45039,Warren,"(39.3072244, -84.2797674)","8872 COLUMBIA ROAD, MAINEVILLE, OH 45039"
22013200,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 6101,,8560 WINTON ROAD,CINCINNATI,OH,45231,Hamilton,"(39.223038, -84.5163867)","8560 WINTON ROAD, CINCINNATI, OH 45231"
22013350,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 6105,,610 CHERRY STREET,BLANCHESTER,OH,45107,Clinton,"(39.2947717, -83.98116399999999)","610 CHERRY STREET, BLANCHESTER, OH 45107"
22013400,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 6107,,8215 COLERAIN AVENUE,CINCINNATI,OH,45239,Hamilton,"(39.2203886, -84.5873345)","8215 COLERAIN AVENUE, CINCINNATI, OH 45239"
22012650,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 6126,,371 LUDLOW AVENUE,CINCINNATI,OH,45220,Hamilton,"(39.1434315, -84.5223628)","371 LUDLOW AVENUE, CINCINNATI, OH 45220"
22012700,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 6129,,4110 HARRISON AVENUE,CHEVIOT,OH,45211,Hamilton,"(39.1584218, -84.61894389999999)","4110 HARRISON AVENUE, CHEVIOT, OH 45211"
22012900,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 6136,,150 SOUTH MAIN STREET,FRANKLIN,OH,45005,Warren,"(39.5625086, -84.3019901)","150 SOUTH MAIN STREET, FRANKLIN, OH 45005"
22012950,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 6137,,2424 NORTH VERITY PKWY.,MIDDLETOWN,OH,45042,Butler,"(39.5268624, -84.3813921)","2424 NORTH VERITY PKWY., MIDDLETOWN, OH 45042"
22012100,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 6138,,1205 EAST CENTRAL AVENUE,MIAMISBURG,OH,45342,Montgomery,"(39.6413159, -84.26947419999999)","1205 EAST CENTRAL AVENUE, MIAMISBURG, OH 45342"
22012150,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 6139,,710  NORTH MAIN STREET,SPRINGBORO,OH,45066,Warren,"(39.5754993, -84.2302845)","710  NORTH MAIN STREET, SPRINGBORO, OH 45066"
22012200,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 6141,,1001 EAST MAIN STREET,TROTWOOD,OH,45426,Montgomery,"(39.7979899, -84.29202169999999)","1001 EAST MAIN STREET, TROTWOOD, OH 45426"
22012350,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 6145,,1300 NORTH BARRON STREET,EATON,OH,45320,Preble,"(39.7589233, -84.6353389)","1300 NORTH BARRON STREET, EATON, OH 45320"
22012500,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 6149,,1885 WEST HENDERSON ROAD,UPPER ARLINGTON,OH,43220,Franklin,"(40.05442559999999, -83.0697194)","1885 WEST HENDERSON ROAD, UPPER ARLINGTON, OH 43220"
22011600,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 6153,,2532 EAST MAIN STREET,COLUMBUS,OH,43209,Franklin,"(39.95720439999999, -82.93133929999999)","2532 EAST MAIN STREET, COLUMBUS, OH 43209"
22011650,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 6155,,145 SOUTH STATE STREET,WESTERVILLE,OH,43081,Franklin,"(40.1220453, -82.9304078)","145 SOUTH STATE STREET, WESTERVILLE, OH 43081"
22011800,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 6161,,7470 SAWMILL ROAD,DUBLIN,OH,43016,Franklin,"(40.118337, -83.0895949)","7470 SAWMILL ROAD, DUBLIN, OH 43016"
22011850,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 6162,,1202 COUNTY LINE ROAD,WESTERVILLE,OH,43081,Franklin,"(40.1325714, -82.88652119999999)","1202 COUNTY LINE ROAD, WESTERVILLE, OH 43081"
22011900,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 6163,,711 PARK ROAD,WORTHINGTON,OH,43085,Franklin,"(40.1257524, -82.9808439)","711 PARK ROAD, WORTHINGTON, OH 43085"
22012050,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 6167,,418 EAST MAIN STREET,ASHLAND,OH,44805,Ashland,"(40.8682143, -82.30687160000001)","418 EAST MAIN STREET, ASHLAND, OH 44805"
22010850,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY # 6185,,1100 HILL ROAD  NORTH,PICKERINGTON,OH,43147,Fairfield,"(39.9105969, -82.7781105)","1100 HILL ROAD  NORTH, PICKERINGTON, OH 43147"
21632650,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #00396,,200 E. BROADWAY,GRANVILLE,OH,43023,Licking,"(40.0682397, -82.5181609)","200 E. BROADWAY, GRANVILLE, OH 43023"
22354300,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #10209,,3761 Massillon Rd,Uniontown,OH,44685-7730,Summit,"(40.9595236, -81.4645061)","3761 Massillon Rd, Uniontown, OH 44685-7730"
22348950,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #10246,,4121 MONROE STREET,TOLEDO,OH,43606,Lucas,"(41.6799827, -83.6041071)","4121 MONROE STREET, TOLEDO, OH 43606"
22351700,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #10248,,212 E. WOOSTER STREET,BOWLING GREEN,OH,43402,Wood,"(41.3744348, -83.6481871)","212 E. WOOSTER STREET, BOWLING GREEN, OH 43402"
22444450,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #10372,,2210 TUSCARAWAS ST. W,CANTON,OH,44708,Stark,"(40.7991974, -81.3982328)","2210 TUSCARAWAS ST. W, CANTON, OH 44708"
22444400,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #10457,,7510 SYLVANIA AVENUE,SYLVANIA,OH,43560,Lucas,"(41.6890358, -83.7239814)","7510 SYLVANIA AVENUE, SYLVANIA, OH 43560"
22794950,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #10893,,5812 RIDGE ROAD,PARMA,OH,44129,Cuyahoga,"(41.4043705, -81.7351985)","5812 RIDGE ROAD, PARMA, OH 44129"
22801650,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #11155,,2104 S. BYRNE ROAD,TOLEDO,OH,43614,Lucas,"(41.6016579, -83.6262381)","2104 S. BYRNE ROAD, TOLEDO, OH 43614"
22833400,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #11213,,126 N. MAIN STREET,BLUFFTON,OH,45817,Allen,"(40.8938049, -83.89072499999999)","126 N. MAIN STREET, BLUFFTON, OH 45817"
21627350,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #1223,,3575 BROADWAY,GROVE CITY,OH,43123,Franklin,"(39.8907177, -83.08693)","3575 BROADWAY, GROVE CITY, OH 43123"
22570300,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #16443,,1717 OLENTANGY RIVER ROAD,COLUMBUS,OH,43212,Franklin,"(39.9937742, -83.02757799999999)","1717 OLENTANGY RIVER ROAD, COLUMBUS, OH 43212"
22570750,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #16590,,1485 POLARIS PKWY,COLUMBUS,OH,43240,Delaware,"(40.138228, -82.97898219999999)","1485 POLARIS PKWY, COLUMBUS, OH 43240"
22571550,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #17094,,55 GRACELAND BLVD,COLUMBUS,OH,43214,Franklin,"(40.0650489, -83.0209098)","55 GRACELAND BLVD, COLUMBUS, OH 43214"
22571700,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS/PHARMACY #17136,,1980 LINCOLN WAY E,MASSILLON,OH,44646,Stark,"(40.8012071, -81.4975731)","1980 LINCOLN WAY E, MASSILLON, OH 44646"
