BusinessName,DoingBusinessAs,Public Zip,votes_dem,votes_rep,pct_dem_lead,PopInsured,TotalPop,Life Exp, Median_Income_Dollars , Mean_Income_Dollars ,Public Address Street,LocationCity,LocationState,LocationCounty,Geo,Full Address,ZCTA5,GEOID,LicenseNumber,LicenseType,LicenseTypeSubCategory,LicenseCategoryNumber,LicenseStatus,Census_Tract_Code
CVS PHARMACY #16665,,44124,586,164,56.1,"38,536","39,727",," $78,895.00 "," $115,619.00 ",1285 SOM CENTER RD,MAYFIELD HEIGHTS,OH,Cuyahoga,"(41.5246187, -81.4349055)","1285 SOM CENTER RD, MAYFIELD HEIGHTS, OH 44124",44124,39035-MAYFIELD HEIGHTS G,22570950,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39035172105
CVS PHARMACY #16732,,45150,221,229,-1.7,"31,238","32,938",82.8," $91,780.00 "," $116,737.00 ",100 RIVERS EDGE,MILFORD,OH,Clermont,"(39.1627157, -84.2750021)","100 RIVERS EDGE, MILFORD, OH 45150",45150,39025-MILFORD CITY E,22571150,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39025041406
CVS PHARMACY #16779,,45209-5009,833,283,48.1,"10,028","10,601",," $87,841.00 "," $122,191.00 ",3245 Geier Dr,Cincinnati,OH,Hamilton,"(39.1614621, -84.4256369)","3245 Geier Dr, Cincinnati, OH 45209-5009",45209,39061-CINCINNATI 02-C,22571200,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39061027600
CVS PHARMACY #16795,,44512,398,449,-6,"31,189","32,517",80.2," $62,311.00 "," $79,107.00 ",417 BOARDMAN POLAND RD,BOARDMAN,OH,Mahoning,"(41.0206241, -80.64639179999999)","417 BOARDMAN POLAND RD, BOARDMAN, OH 44512",44512,39099-BOARDMAN 01,22571250,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39099811902
CVS PHARMACY #16864,,45069-2794,433,562,-12.8,"52,596","55,236",79.9," $115,539.00 "," $137,448.00 ",7644 Voice Of America Centre Dr,West Chester,OH,Butler,"(39.3560745, -84.3609413)","7644 Voice Of America Centre Dr, West Chester, OH 45069-2794",45069,39017-WEST CHESTER TWP 11,22572650,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39017011109
CVS PHARMACY #16873,,45251,425,433,-0.9,"18,882","20,456",74.6," $75,620.00 "," $96,150.00 ",9040 COLERAIN AVE.,CINCINNATI,OH,Hamilton,"(39.2357197, -84.5886745)","9040 COLERAIN AVE., CINCINNATI, OH 45251",45251,39061-COLERAIN C,22571300,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39061020705
CVS PHARMACY #16927,,44118,483,180,45.5,"38,937","40,322",82.7," $76,328.00 "," $106,716.00 ",14070 CEDAR RD,UNIVERSITY HEIGHTS,OH,Cuyahoga,"(41.4998914, -81.5338173)","14070 CEDAR RD, UNIVERSITY HEIGHTS, OH 44118",44118,39035-UNIVERSITY HEIGHTS F,22571350,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39035187105
CVS PHARMACY #16962,,44067,287,375,-13.3,"18,516","19,490",80.2," $89,082.00 "," $115,551.00 ",8282 GOLDEN LINK BLVD,NORTHFIELD,OH,Summit,"(41.3113685, -81.527757)","8282 GOLDEN LINK BLVD, NORTHFIELD, OH 44067",44067,39153-NORTHFIELD CENTER TWP D,22571400,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39153532703
CVS PHARMACY #17063,,45011,324,546,-25.1,"67,234","73,205",70.7," $90,360.00 "," $116,983.00 ",3369 PRINCETON RD,HAMILTON,OH,Butler,"(39.3878194, -84.50468529999999)","3369 PRINCETON RD, HAMILTON, OH 45011",45011,39017-FAIRFIELD TWP 06,22571450,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39017011004
CVS PHARMACY #17202,,44281,392,512,-13.1,"32,080","33,809",80.9," $88,128.00 "," $111,974.00 ",1183 WILLIAMS RESERVE BLVD.,WADSWORTH,OH,Medina,"(41.0399663, -81.6903005)","1183 WILLIAMS RESERVE BLVD., WADSWORTH, OH 44281",44281,39103-WADSWORTH CITY 2-D,22571800,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39103417100
CVS PHARMACY #17239,,44241,313,416,-14,"17,298","18,248",78.9," $81,392.00 "," $96,588.00 ",1144 STATE ROUTE 303,STREETSBORO,OH,Portage,"(41.2369711, -81.35331409999999)","1144 STATE ROUTE 303, STREETSBORO, OH 44241",44241,39133-STREETSBORO 4-B,22571850,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39133600402
CVS PHARMACY #17242,,44202,357,420,-8,"21,860","22,545",83.1," $116,556.00 "," $147,739.00 ",18855 N. MARKET PLACE DRIVE,AURORA,OH,Geauga,"(41.3570181, -81.3865094)","18855 N. MARKET PLACE DRIVE, AURORA, OH 44202",44202,39055-BAINBRIDGE TWP F,22571950,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39055311800
CVS PHARMACY #17388,,44060,442,619,-16.6,"57,838","59,831",80.5," $85,881.00 "," $106,500.00 ",9669 MENTOR AVENUE,MENTOR,OH,Lake,"(41.6861037, -81.2941214)","9669 MENTOR AVENUE, MENTOR, OH 44060",44060,39085-MENTOR CITY 1D,22572250,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39085203500
CVS PHARMACY #17411,,44312,340,411,-9.3,"20,173","21,211",," $74,781.00 "," $91,261.00 ",762 ARLINGTON RDG,AKRON,OH,Summit,"(40.9841133, -81.49602929999999)","762 ARLINGTON RDG, AKRON, OH 44312",44319,39153-GREEN 4-A,22572350,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39153531501
CVS PHARMACY #17534,,45211,602,294,33.8,"33,926","36,671",76.2," $54,582.00 "," $70,902.00 ",6150 GLENWAY AVE.,CINCINNATI,OH,Hamilton,"(39.1451432, -84.6201131)","6150 GLENWAY AVE., CINCINNATI, OH 45211",45211,39061-CINCINNATI 26-K,22572450,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39061010201
CVS PHARMACY #17574,,45236,368,580,-22,"22,950","24,161",78.4," $81,990.00 "," $102,538.00 ",9099 PLAINFIELD RD.,BLUE ASH,OH,Hamilton,"(39.2244564, -84.3947891)","9099 PLAINFIELD RD., BLUE ASH, OH 45236",45236,39061-SYCAMORE L,22572500,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39061023522
CVS/PHARMACY  #3090,,44260,253,315,-10.7,"12,394","12,733",," $75,261.00 "," $95,407.00 ",3 NORTH CLEVELAND AVENUE,MOGADORE,OH,Portage,"(41.0514208, -81.3925642)","3 NORTH CLEVELAND AVENUE, MOGADORE, OH 44260",44260,39133-MOGADORE VLG,22013950,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39133602101
CVS/PHARMACY # 11086,,45690,134,274,-33.7,"12,795","13,250",76.9," $48,201.00 "," $80,475.00 ",210 EAST EMMITT AVENUE,WAVERLY,OH,Pike,"(39.1279856, -82.9833804)","210 EAST EMMITT AVENUE, WAVERLY, OH 45690",45690,39131-WAVERLY WARD 3 WAVERLY,22652950,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39131952400
CVS/PHARMACY # 16165,,43623,434,411,2.7,"18,855","20,267",," $65,908.00 "," $80,824.00 ",5225 MONROE ST.,TOLEDO,OH,Lucas,"(41.6989335, -83.65429309999999)","5225 MONROE ST., TOLEDO, OH 43623",43623,39095-SYLVANIA TWP G,22570850,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39095008303
CVS/PHARMACY # 16193,,43017,863,467,29.2,"39,395","41,179",79.1," $133,116.00 "," $175,278.00 ",6000 SAWMILL ROAD,DUBLIN,OH,Franklin,"(40.0898349, -83.089484)","6000 SAWMILL ROAD, DUBLIN, OH 43017",43017,39049-COLUMBUS 60-G,22569750,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39049006396
CVS/PHARMACY # 16245,,44129,449,473,-2.6,"26,084","28,113",78.9," $67,619.00 "," $80,872.00 ",6850 RIDGE ROAD,PARMA,OH,Cuyahoga,"(41.3781056, -81.7361076)","6850 RIDGE ROAD, PARMA, OH 44129",44129,39035-PARMA 5-B,22570150,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39035177606
CVS/PHARMACY # 16380,,44136,405,421,-1.9,"23,992","24,769",79," $93,713.00 "," $114,558.00 ",18200 ROYALTON ROAD,STRONGSVILLE,OH,Cuyahoga,"(41.3171134, -81.8280719)","18200 ROYALTON ROAD, STRONGSVILLE, OH 44136",44136,39035-STRONGSVILLE 1-G,22570000,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39035186106
CVS/PHARMACY # 16383,,43056,243,557,-38.9,"16,261","17,248",," $76,833.00 "," $97,987.00 ",270 AIRPORT PARKWAY,HEATH,OH,Licking,"(40.0228421, -82.44459909999999)","270 AIRPORT PARKWAY, HEATH, OH 43056",43056,39089-HEATH 2-A,22569900,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39089752802
CVS/PHARMACY # 16384,,43130,245,414,-25.2,"55,426","59,999",77," $68,242.00 "," $86,401.00 ",1300 RIVER VALLEY BLVD.,LANCASTER,OH,Fairfield,"(39.730156, -82.62137059999999)","1300 RIVER VALLEY BLVD., LANCASTER, OH 43130",43130,39045-LANCASTER CITY 1-E,22569850,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39045031500
CVS/PHARMACY # 16453,,43219,571,108,67.9,"28,767","32,358",76.3," $51,860.00 "," $66,539.00 ",4199 MORSE CROSSING,COLUMBUS,OH,Franklin,"(40.0565637, -82.9214143)","4199 MORSE CROSSING, COLUMBUS, OH 43219",43219,39049-COLUMBUS 83-A,22570350,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39049010100
CVS/PHARMACY # 16469,,45249,390,476,-9.8,"13,254","14,153",84.1," $107,227.00 "," $162,586.00 ",9841 WATERSTONE BLVD,CINCINNATI,OH,Warren,"(39.2961262, -84.30472669999999)","9841 WATERSTONE BLVD, CINCINNATI, OH 45249",45249,39165-DEERFIELD TWP X,22570400,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39165032006
CVS/PHARMACY # 16493,,45431,546,522,2.2,"24,007","25,501",," $80,058.00 "," $96,748.00 ",2490 N. FAIRFIELD RD,BEAVERCREEK,OH,Greene,"(39.7617625, -84.0506352)","2490 N. FAIRFIELD RD, BEAVERCREEK, OH 45431",45431,39057-BEAVERCREEK 022,22570600,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39057210604
CVS/PHARMACY # 16494,,45424,240,247,-1.4,"46,430","49,291",79.8," $78,566.00 "," $94,824.00 ",5700 EXECUTIVE BLVD.,HUBER HEIGHTS,OH,Montgomery,"(39.8707978, -84.1333867)","5700 EXECUTIVE BLVD., HUBER HEIGHTS, OH 45424",45424,39113-HUBER HEIGHTS 2-A,22570550,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39113100102
CVS/PHARMACY # 16570,,44035,444,337,13.5,"57,020","61,432",73.9," $54,362.00 "," $70,012.00 ",240 MARKET DR,ELYRIA,OH,Lorain,"(41.3887892, -82.1093005)","240 MARKET DR, ELYRIA, OH 44035",44035,39093-ELYRIA CITY 2-C,22570700,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39093070300
CVS/PHARMACY # 16600,,45459,327,491,-19.6,"26,634","27,640",," $89,144.00 "," $114,557.00 ",2300 MIAMISBURG CENTERVILLE RD,DAYTON,OH,Montgomery,"(39.6326847, -84.21359439999999)","2300 MIAMISBURG CENTERVILLE RD, DAYTON, OH 45459",45459,39113-MIAMI A,22570800,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39113050107
CVS/PHARMACY # 16660,,43460,343,432,-11.2,"42,242","43,057",," $91,460.00 "," $132,574.00 ",9666 OLDE US 20,ROSSFORD,OH,Wood,"(41.5419605, -83.5830809)","9666 OLDE US 20, ROSSFORD, OH 43460",43551,39173-PERRYSBURG TWP GLENWOOD,22571050,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39173020701
CVS/PHARMACY # 16666,,44011,598,535,5.5,"24,483","24,785",," $126,618.00 "," $166,499.00 ",35830 DETROIT RD,AVON,OH,Lorain,"(41.46220599999999, -82.00963229999999)","35830 DETROIT RD, AVON, OH 44011",44011,39093-AVON CITY 2-A,22571000,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39093013101
CVS/PHARMACY # 16720,,44903,281,538,-30.9,"25,245","26,515",79.5," $65,421.00 "," $81,446.00 ",2205 WALKER LAKE RD,MANSFIELD,OH,Richland,"(40.7857864, -82.59396939999999)","2205 WALKER LAKE RD, MANSFIELD, OH 44903",44903,39139-ONTARIO 1-A,22571100,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39139002300
CVS/PHARMACY # 17057,,45440,386,353,4.4,"21,316","22,228",," $83,378.00 "," $104,901.00 ",4341 FEEDWIRE ROAD,DAYTON,OH,Greene,"(39.658209, -84.10472)","4341 FEEDWIRE ROAD, DAYTON, OH 45440",45440,39057-SUGARCREEK 150,22572600,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39057220201
CVS/PHARMACY # 17085,,43026,590,420,16.7,"60,703","64,318",," $110,369.00 "," $130,926.00 ",4211 TRUEMAN BLVD,HILLIARD,OH,Franklin,"(40.0384665, -83.123851)","4211 TRUEMAN BLVD, HILLIARD, OH 43026",43026,39049-HILLIARD 2-B,22571600,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39049007958
CVS/PHARMACY # 17088,,43213,477,89,67.2,"31,280","35,766",70.2," $53,908.00 "," $73,470.00 ",3955 E BROAD ST.,WHITEHALL,OH,Franklin,"(39.971494, -82.89552499999999)","3955 E BROAD ST., WHITEHALL, OH 43213",43213,39049-WHITEHALL 2-C,22571500,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39049009220
CVS/PHARMACY # 17109,,44070,379,281,14.7,"30,433","31,796",76," $85,435.00 "," $105,371.00 ",24646 BROOKPARK ROAD,NORTH OLMSTED,OH,Cuyahoga,"(41.4200332, -81.89448999999999)","24646 BROOKPARK ROAD, NORTH OLMSTED, OH 44070",44070,39035-NORTH OLMSTED 4-B,22571650,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39035174206
CVS/PHARMACY # 17174,,43068,367,132,46.5,"53,625","59,263",," $70,451.00 "," $89,644.00 ",8100 E. BROAD STREET,REYNOLDSBURG,OH,Franklin,"(39.9884716, -82.7847651)","8100 E. BROAD STREET, REYNOLDSBURG, OH 43068",43068,39049-COLUMBUS 46-M,22571750,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39049007302
CVS/PHARMACY # 17241,,44870,391,623,-22.5,"36,600","38,988",," $58,797.00 "," $75,184.00 ",4020 MILAN ROAD,SANDUSKY,OH,Erie,"(41.4208463, -82.6746465)","4020 MILAN ROAD, SANDUSKY, OH 44870",44870,39043-PERKINS TWP 02,22571900,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39043041900
CVS/PHARMACY # 17303,,44111,184,57,52.5,"36,199","39,854",76.5," $54,790.00 "," $68,819.00 ",3100 W. 117TH STREET,CLEVELAND,OH,Cuyahoga,"(41.4679859, -81.7716954)","3100 W. 117TH STREET, CLEVELAND, OH 44111",44111,39035-CLEVELAND 11-N,22572100,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39035123501
CVS/PHARMACY # 17305,,44109,166,62,45.2,"34,536","38,019",71.7," $43,130.00 "," $56,438.00 ",3535 STEELYARD DRIVE,CLEVELAND,OH,Cuyahoga,"(41.45812189999999, -81.68876060000001)","3535 STEELYARD DRIVE, CLEVELAND, OH 44109",44109,39035-CLEVELAND 12-S,22572000,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39035104800
CVS/PHARMACY # 17340,,44126,99,84,8.1,"15,869","16,978",76.5," $77,944.00 "," $101,682.00 ",20900 WESTGATE MALL,FAIRVIEW PARK,OH,Cuyahoga,"(41.4578013, -81.85095179999999)","20900 WESTGATE MALL, FAIRVIEW PARK, OH 44126",44126,39035-FAIRVIEW PARK 2-A,22572050,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39035153105
CVS/PHARMACY # 17416,,44001,446,567,-11.9,"19,931","20,921",," $91,050.00 "," $112,982.00 ",8000 OAK POINT ROAD,AMHERST,OH,Lorain,"(41.4131195, -82.242541)","8000 OAK POINT ROAD, AMHERST, OH 44001",44001,39093-AMHERST CITY 1-A,22572150,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39093097201
CVS/PHARMACY # 17504,,43068,463,288,23.1,"53,625","59,263",," $70,451.00 "," $89,644.00 ",2437 TAYLOR PARK DRIVE,REYNOLDSBURG,OH,Franklin,"(39.9340766, -82.7931875)","2437 TAYLOR PARK DRIVE, REYNOLDSBURG, OH 43068",43068,39045-VIOLET A,22569800,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39045032704
CVS/PHARMACY # 17533,,45065,302,655,-36.5,"6,787","6,938",77.4," $107,222.00 "," $137,646.00 ",400 CORWIN NIXON RD,SOUTH LEBANON,OH,Warren,"(39.3788934, -84.219138)","400 CORWIN NIXON RD, SOUTH LEBANON, OH 45065",45065,39165-UNION TWP A,22572400,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39165032100
CVS/PHARMACY # 17666,,43065,561,486,7,"44,053","45,253",80.8," $154,797.00 "," $194,351.00 ",10560 SAWMILL PKWY,POWELL,OH,Delaware,"(40.1425144, -83.0952076)","10560 SAWMILL PKWY, POWELL, OH 43065",43065,39041-LIBERTY G,22572550,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39041011430
CVS/PHARMACY # 3088,,44281,274,311,-6.2,"32,080","33,809",80.9," $88,128.00 "," $111,974.00 ",473 HIGH STREET,WADSWORTH,OH,Medina,"(41.0354773, -81.7282034)","473 HIGH STREET, WADSWORTH, OH 44281",44281,39103-WADSWORTH CITY 2-B,22013900,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39103417100
CVS/PHARMACY # 3094,,43055,356,699,-32.1,"58,237","61,959",70.7," $61,807.00 "," $79,505.00 ",379 EAST MAIN STREET,NEWARK,OH,Licking,"(40.0588564, -82.3859943)","379 EAST MAIN STREET, NEWARK, OH 43055",43055,39089-NEWARK 1-A,22014000,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39089752500
CVS/PHARMACY # 6082,,45241,443,426,1.9,"21,977","23,234",78.3," $94,943.00 "," $135,913.00 ",4000 HAUCK ROAD,SHARONVILLE,OH,Hamilton,"(39.2911056, -84.3937302)","4000 HAUCK ROAD, SHARONVILLE, OH 45241",45241,39061-SHARONVILLE 2-A,22013450,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39061023001
CVS/PHARMACY # 6083,,45013,348,789,-38.3,"50,178","53,105",75.1," $72,932.00 "," $88,195.00 ",28 NORTH BROOKWOOD AVENUE,HAMILTON,OH,Butler,"(39.4208895, -84.5895524)","28 NORTH BROOKWOOD AVENUE, HAMILTON, OH 45013",45013,39017-HAMILTON CITY 1-07,22013500,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39017001002
CVS/PHARMACY # 6084,,45056,333,99,53.2,"26,555","27,366",," $53,413.00 "," $78,944.00 ",123 WEST SPRING STREET,OXFORD,OH,Butler,"(39.5069571, -84.7450334)","123 WEST SPRING STREET, OXFORD, OH 45056",45056,39017-OXFORD CITY 08,22013550,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39017010106
CVS/PHARMACY # 6086,,45036,179,369,-34.2,"36,294","38,127",73.9," $97,944.00 "," $138,969.00 ",605 COLUMBUS AVENUE,LEBANON,OH,Warren,"(39.4415372, -84.1955168)","605 COLUMBUS AVENUE, LEBANON, OH 45036",45036,39165-LEBANON CITY G,22013650,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39165031400
CVS/PHARMACY # 6089,,45030,246,770,-50.9,"20,700","21,160",," $97,228.00 "," $111,855.00 ",10534 HARRISON AVENUE,HARRISON,OH,Hamilton,"(39.2521383, -84.7920484)","10534 HARRISON AVENUE, HARRISON, OH 45030",45030,39061-HARRISON C,22013750,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39061026104
CVS/PHARMACY # 6090,,45039,278,307,-4.8,"27,998","28,868",83.8," $111,774.00 "," $135,375.00 ",8872 COLUMBIA ROAD,MAINEVILLE,OH,Warren,"(39.3072244, -84.2797674)","8872 COLUMBIA ROAD, MAINEVILLE, OH 45039",45039,39165-DEERFIELD TWP R,22013800,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39165032003
CVS/PHARMACY # 6101,,45231,658,397,24.3,"37,279","40,172",77," $69,140.00 "," $83,182.00 ",8560 WINTON ROAD,CINCINNATI,OH,Hamilton,"(39.223038, -84.5163867)","8560 WINTON ROAD, CINCINNATI, OH 45231",45231,39061-SPRINGFIELD U,22013200,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39061022102
CVS/PHARMACY # 6105,,45107,67,289,-60.7,"9,004","9,640",73.9," $65,625.00 "," $82,952.00 ",610 CHERRY STREET,BLANCHESTER,OH,Clinton,"(39.2947717, -83.98116399999999)","610 CHERRY STREET, BLANCHESTER, OH 45107",45107,39027-BLANCHESTER B,22013350,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39027964900
CVS/PHARMACY # 6107,,45239,346,458,-13.8,"27,619","28,875",79," $58,276.00 "," $69,996.00 ",8215 COLERAIN AVENUE,CINCINNATI,OH,Hamilton,"(39.2203886, -84.5873345)","8215 COLERAIN AVENUE, CINCINNATI, OH 45239",45239,39061-COLERAIN V,22013400,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39061020701
