Business_Name,Public Zip,votes_dem,votes_rep,pct_dem_lead,PopInsured,TotalPop,Life Exp,Median_Income_Dollars,Mean_Income_Dollars,Public Address Street,Public Address City,Full Address,Geo,ZCTA5,Places_ID,GEOID
"J A. Pierron, R",45662,123,40,50.3,"25,143","26,436",68.2,"$37,345.00 ","$57,022.00 ",902 Washington St,Portsmouth,"902 Washington St, Portsmouth, OH 45662, USA","38.7375779,-82.9982378",45662,ChIJkeTXtYCMRogRjlO9sosBsFE,39145-PORTSMOUTH 2-B
Genoa Healthcare,45638,68,279,-60.6,"18,332","19,581",73.5,"$49,544.00 ","$63,653.00 ",225 Carlton Davidson Ln Room 1,Coal Grove,"225 Carlton Davidson Ln Room 1, Coal Grove, OH 45638, USA","38.5035313,-82.64838639999999",45638,ChIJhWi02Ah3RogRWhd00X1FUHk,39087-COAL GROVE C
Walmart Pharmacy,45662,159,235,-19,"25,143","26,436",72.2,"$37,345.00 ","$57,022.00 ",4490 Gallia St,New Boston,"4490 Gallia St, New Boston, OH 45662, USA","38.753021,-82.9251127",45662,ChIJoQqhQ76KRogRGw5FBw4CieU,39145-NEW BOSTON 1-A
CVS Pharmacy,45662,144,182,-11.5,"25,143","26,436",72.2,"$37,345.00 ","$57,022.00 ",4207 Gallia St,New Boston,"4207 Gallia St, New Boston, OH 45662, USA","38.7556484,-82.93225269999999",45662,ChIJ6XbnpsGKRogReCvHb34cNeM,39145-NEW BOSTON 2-A
Walmart Pharmacy,45680,139,266,-31.1,"11,097","11,723",,"$55,348.00 ","$78,359.00 ",354 Private Dr # 1,South Point,"354 Private Dr # 1, South Point, OH 45680, USA","38.410849,-82.5238261",45680,ChIJgxm67-yXOIgRnxXzt2b2bcs,39087-BURLINGTON 1
Sam's Club Pharmacy,45680,139,266,-31.1,"11,097","11,723",,"$55,348.00 ","$78,359.00 ",432 Walmart Way,South Point,"432 Walmart Way, South Point, OH 45680, USA","38.411336,-82.52308459999999",45680,ChIJGRrkbyrgRYgRWacrUX1PP8o,39087-BURLINGTON 1
CVS Pharmacy,45619,62,167,-45.9,"6,932","7,273",74.2,"$57,525.00 ","$76,107.00 ",219 3rd Ave,Chesapeake,"219 3rd Ave, Chesapeake, OH 45619, USA","38.4282919,-82.453576",45619,ChIJNYxn1cEJRogRrk6KmwzkMI8,39087-CHESAPEAKE B
Kroger Pharmacy,45669,66,166,-42.6,"9,656","10,064",75.2,"$65,824.00 ","$88,557.00 ",6306 County Rd 107,Proctorville,"6306 County Rd 107, Proctorville, OH 45669, USA","38.4369679,-82.3867965",45669,ChIJqUOnJpTZNYgRWJyGgBvpxt4,39087-PROCTORVILLE
Genoa Healthcare,25705,142,322,-38.4,,,,,,55 Donohoe Dr,Huntington,"55 Donohoe Dr, Huntington, WV 25705, USA","38.410479599999995,-82.3737218",25705,ChIJP0W4JAAHRogRtn4MgjIn8ys,54011-34
TriHealth Pharmacy Solutions,45212,365,249,18.5,"18,798","20,829",75.4,"$63,698.00 ","$82,143.00 ",4623 Wesley Ave,Cincinnati,"4623 Wesley Ave, Cincinnati, OH 45212, USA","39.1613744,-84.4512803",45212,ChIJl-bS5JCyQYgR3I_62fcgApA,39061-NORWOOD 3-B
Kroger Pharmacy,45238,218,495,-38.5,"45,270","48,792",75.1,"$64,672.00 ","$82,390.00 ",5080 Delhi Rd,Cincinnati,"5080 Delhi Rd, Cincinnati, OH 45238, USA","39.0962459,-84.61278659999999",45238,ChIJdw52H-fJQYgRJpF6IPmy_Lc,39061-DELHI D
Walgreens Pharmacy,45202,557,212,44.1,"15,465","16,340",79.8,"$87,930.00 ","$124,663.00 ",406 Main St,Cincinnati,"406 Main St, Cincinnati, OH 45202, USA","39.1006079,-84.5093176",45202,ChIJZ9P1_1qxQYgRaIok87ViS0k,39061-CINCINNATI 06-E
Walgreens Pharmacy,45230,487,605,-10.6,"26,049","26,701",79.5,"$87,100.00 ","$119,676.00 ",7135 Beechmont Ave,Cincinnati,"7135 Beechmont Ave, Cincinnati, OH 45230, USA","39.073034899999996,-84.3621556",45230,ChIJhb0hAM-uQYgRnKJwk5w1F6A,39061-ANDERSON O
Walgreens Pharmacy,45238,560,354,22.1,"45,270","48,792",75.8,"$64,672.00 ","$82,390.00 ",2320 Boudinot Ave,Cincinnati,"2320 Boudinot Ave, Cincinnati, OH 45238, USA","39.128474,-84.60479",45238,ChIJw-z4dPa1QYgRfAwQ0tMwhig,39061-CINCINNATI 25-H
Walgreens Pharmacy,45238,256,547,-35.9,"45,270","48,792",78.2,"$64,672.00 ","$82,390.00 ",398 Anderson Ferry Rd,Cincinnati,"398 Anderson Ferry Rd, Cincinnati, OH 45238, USA","39.093731399999996,-84.6176859",45238,ChIJ95TVFujJQYgRKfVmrnMt87U,39061-DELHI M
Kroger Pharmacy,45255,518,484,3.4,"21,710","22,682",79.5,"$88,694.00 ","$127,587.00 ",7580 Beechmont Ave,Cincinnati,"7580 Beechmont Ave, Cincinnati, OH 45255, USA","39.0744691,-84.34803579999999",45255,ChIJOfbpDzGpQYgRsVcBB7jmUAc,39061-ANDERSON FF
Kroger Pharmacy,45209,833,283,48.1,"10,028","10,601",,"$87,841.00 ","$122,191.00 ",4613 Marburg Ave,Cincinnati,"4613 Marburg Ave, Cincinnati, OH 45209, USA","39.1602767,-84.427211",45209,ChIJobFTb2-tQYgRtoh1S_FrsxQ,39061-CINCINNATI 02-C
Kroger Pharmacy,45238,583,155,57.4,"45,270","48,792",70,"$64,672.00 ","$82,390.00 ",2310 Ferguson Rd,Cincinnati,"2310 Ferguson Rd, Cincinnati, OH 45238, USA","39.126697899999996,-84.5973819",45238,ChIJRWborPa1QYgRRApSgRB4Sbs,39061-CINCINNATI 25-J
Walgreens Pharmacy,45219,545,119,62.7,"17,961","18,991",63.4,"$35,936.00 ","$50,874.00 ",3 W Corry St,Cincinnati,"3 W Corry St, Cincinnati, OH 45219, USA","39.1287458,-84.5107812",45219,ChIJ__8_T-2zQYgRkP-VnaVBgw0,39061-CINCINNATI 12-E
CVS Pharmacy,45219,545,119,62.7,"17,961","18,991",63.4,"$35,936.00 ","$50,874.00 ",17 William Howard Taft Rd,Cincinnati,"17 William Howard Taft Rd, Cincinnati, OH 45219, USA","39.127610399999995,-84.51087179999999",45219,ChIJ8Tjpbu2zQYgRzfFbzIpZ4xk,39061-CINCINNATI 12-E
CVS Pharmacy,45202,777,218,55,"15,465","16,340",80.3,"$87,930.00 ","$124,663.00 ",36 E 7th St,Cincinnati,"36 E 7th St, Cincinnati, OH 45202, USA","39.1040443,-84.51260850000001",45202,ChIJy2YYT1exQYgRLnXjMQ9zXnM,39061-CINCINNATI 06-A
Walgreens Pharmacy,45230,688,410,24.9,"26,049","26,701",77.5,"$87,100.00 ","$119,676.00 ",2203 Beechmont Ave,Mt Washington,"2203 Beechmont Ave, Mt Washington, OH 45230, USA","39.0943621,-84.38763589999999",45230,ChIJ_eHHGoWuQYgRTC878zYVhx4,39061-CINCINNATI 01-C
Kroger Pharmacy,45219,545,119,62.7,"17,961","18,991",63.4,"$35,936.00 ","$50,874.00 ",1 W Corry St,Cincinnati,"1 W Corry St, Cincinnati, OH 45219, USA","39.1284692,-84.5091765",45219,ChIJq6qqJ-2zQYgRzrtPbqbDvMY,39061-CINCINNATI 12-E
Walgreens Pharmacy,45205,297,132,38,"16,002","18,543",71.3,"$41,357.00 ","$53,994.00 ",4241 Glenway Ave,Cincinnati,"4241 Glenway Ave, Cincinnati, OH 45205, USA","39.1137899,-84.5845985",45205,ChIJ0TEG29-1QYgRx9X_bQEEY2M,39061-CINCINNATI 25-K
Kroger Pharmacy,45211,379,245,21,"33,926","36,671",76.2,"$54,582.00 ","$70,902.00 ",6165 Glenway Ave,Cincinnati,"6165 Glenway Ave, Cincinnati, OH 45211, USA","39.1426553,-84.6226859",45211,ChIJhx0o02fKQYgRq-eZseL0czY,39061-CINCINNATI 26-G
Meijer Pharmacy,45245,269,460,-25.8,"18,194","19,552",76.8,"$73,135.00 ","$100,261.00 ",888 Eastgate N Dr,Cincinnati,"888 Eastgate N Dr, Cincinnati, OH 45245, USA","39.0979071,-84.2637847",45245,ChIJS_LAn6wAQYgRFZqegYS3dlM,39025-UNION TWP G
Kroger Pharmacy,45102,137,324,-40.2,"23,067","24,772",,"$76,015.00 ","$91,008.00 ",262 W Main St,Amelia,"262 W Main St, Amelia, OH 45102, USA","39.0359477,-84.232953",45102,ChIJbZXTQbQHQYgRJhYlGnjBn6E,39025-PIERCE TWP C
Kroger Pharmacy,45245,269,460,-25.8,"18,194","19,552",76.8,"$73,135.00 ","$100,261.00 ",4530 Eastgate Blvd Suite 500,Cincinnati,"4530 Eastgate Blvd Suite 500, Cincinnati, OH 45245, USA","39.1029713,-84.2711161",45245,ChIJEbPmOgeqQYgRWsftmRJkwSw,39025-UNION TWP G
CVS Pharmacy,45255,518,484,3.4,"21,710","22,682",79.5,"$88,694.00 ","$127,587.00 ",7410 Beechmont Ave,Cincinnati,"7410 Beechmont Ave, Cincinnati, OH 45255, USA","39.073314599999996,-84.35066139999999",45255,ChIJU6POEjSpQYgRLKwwPvg4Gyk,39061-ANDERSON FF
Walgreens Pharmacy,45255,424,459,-3.9,"21,710","22,682",81.9,"$88,694.00 ","$127,587.00 ",1982 8 Mile Rd,Cincinnati,"1982 8 Mile Rd, Cincinnati, OH 45255, USA","39.087319199999996,-84.321382",45255,ChIJfxNhOHCpQYgRTyVeywAl4Qc,39061-ANDERSON A
Kroger Pharmacy,45255,262,470,-27.9,"21,710","22,682",78.1,"$88,694.00 ","$127,587.00 ",450 Ohio Pike,Cincinnati,"450 Ohio Pike, Cincinnati, OH 45255, USA","39.0741023,-84.3111847",45255,ChIJt97uXaepQYgRPSJAINdWWjQ,39025-UNION TWP P1P
Walgreens Pharmacy,45245,268,550,-33.8,"18,194","19,552",,"$73,135.00 ","$100,261.00 ",719 Ohio Pike,Cincinnati,"719 Ohio Pike, Cincinnati, OH 45245, USA","39.064591799999995,-84.2878084",45245,ChIJXT3V5MipQYgRNYN7DGl8jw4,39025-UNION TWP O
Walgreens Pharmacy,45102,272,550,-33.1,"23,067","24,772",,"$76,015.00 ","$91,008.00 ",57 W Main St,Amelia,"57 W Main St, Amelia, OH 45102, USA","39.0309338,-84.2209299",45102,ChIJseolRzYGQYgRHRW_tKM9qPY,39025-BATAVIA TWP O
Kroger Pharmacy,45227,361,230,21.8,"17,525","18,232",81,"$70,614.00 ","$110,975.00 ",7385 Wooster Pike,Cincinnati,"7385 Wooster Pike, Cincinnati, OH 45227, USA","39.1416033,-84.3616717",45227,ChIJAZ0QmX2sQYgRN6O6dHT54Nc,39061-COLUMBIA G
CVS Pharmacy,45245,269,460,-25.8,"18,194","19,552",76.8,"$73,135.00 ","$100,261.00 ",947 Cincinnati-Batavia Pike,Cincinnati,"947 Cincinnati-Batavia Pike, Cincinnati, OH 45245, USA","39.1003093,-84.2632637",45245,ChIJVYShQawAQYgRpj47azvRfD0,39025-UNION TWP G
CVS Pharmacy,45255,472,541,-6.7,"21,710","22,682",81.9,"$88,694.00 ","$127,587.00 ",8680 Beechmont Ave,Cincinnati,"8680 Beechmont Ave, Cincinnati, OH 45255, USA","39.073394199999996,-84.31316079999999",45255,ChIJW89yigmpQYgRf8huHyeX5TU,39061-ANDERSON DD
Option Care Health,45150,135,351,-44.2,"31,238","32,938",81.1,"$91,780.00 ","$116,737.00 ",50 W Techne Center Dr Suite J,Milford,"50 W Techne Center Dr Suite J, Milford, OH 45150, USA","39.15300190000001,-84.2562768",45150,ChIJGcK6om4AQYgROavRLkPyVSA,39025-MIAMI TWP J
Mercy Health - Clermont Hospital,45103,248,675,-45.8,"34,437","36,183",,"$81,837.00 ","$101,588.00 ",3000 Hospital Dr,Batavia,"3000 Hospital Dr, Batavia, OH 45103, USA","39.0798998,-84.14453809999999",45103,ChIJE2j7tmIEQYgRW2IFxVuyVso,39025-BATAVIA TWP M
Kroger Pharmacy,45154,146,552,-57.3,"8,391","9,094",,"$77,345.00 ","$85,503.00 ",210 Sterling Run Blvd,Mt Orab,"210 Sterling Run Blvd, Mt Orab, OH 45154, USA","39.039574099999996,-83.92411260000002",45154,ChIJ9XINKn0iQYgRnLm7XXGOx9w,39015-MT ORAB NORTH
CVS Pharmacy,45121,191,453,-40.1,"7,839","8,640",72.2,"$57,274.00 ","$77,810.00 ",521 E State St,Georgetown,"521 E State St, Georgetown, OH 45121, USA","38.8642061,-83.8970413",45121,ChIJN4Cbj64_QYgRyI5cRV2pv4I,39015-GEORGETOWN EAST
CVS Pharmacy,45106,89,393,-61.5,"10,546","11,075",76.5,"$68,458.00 ","$81,315.00 ",592 W Plane St,Bethel,"592 W Plane St, Bethel, OH 45106, USA","38.964501,-84.08798329999999",45106,ChIJdRdCHzMQQYgR4jdBYcZo164,39025-BETHEL VLG A
CVS Pharmacy,45102,282,595,-35.2,"23,067","24,772",,"$76,015.00 ","$91,008.00 ",52 W Main St,Amelia,"52 W Main St, Amelia, OH 45102, USA","39.0298905,-84.2210106",45102,ChIJscfpYDYGQYgRNiYd3Vw_FNE,39025-PIERCE TWP N
Donohoo Pharmacy,45121,149,364,-41.1,"7,839","8,640",72.2,"$57,274.00 ","$77,810.00 ",114 S Main St,Georgetown,"114 S Main St, Georgetown, OH 45121, USA","38.865617,-83.904729",45121,ChIJXU6947M_QYgRrliVlAANH9Y,39015-GEORGETOWN SW
CVS Pharmacy,45245,269,460,-25.8,"18,194","19,552",76.8,"$73,135.00 ","$100,261.00 ",888 Eastgate N Dr,Cincinnati,"888 Eastgate N Dr, Cincinnati, OH 45245, USA","39.0979071,-84.2637847",45245,ChIJcanevawAQYgRQ_SvXJUUToo,39025-UNION TWP G
Sardinia Pharmacy,45171,152,536,-55.1,"5,589","5,770",73.6,"$63,780.00 ","$83,937.00 ",7110 Bachman Dr #2,Sardinia,"7110 Bachman Dr #2, Sardinia, OH 45171, USA","39.0135467,-83.809784",45171,ChIJ58SJ1uAkQYgR8CSVC9EeCvA,39015-WASHINGTON TWP
HealthSource of Ohio Pharmacy,45103,248,675,-45.8,"34,437","36,183",,"$81,837.00 ","$101,588.00 ",2055 Hospital Dr Suite 130-B,Batavia,"2055 Hospital Dr Suite 130-B, Batavia, OH 45103, USA","39.0809867,-84.14463239999999",45103,ChIJPWhBs2IEQYgR4L3gyb7syEg,39025-BATAVIA TWP M
Fitzgerald's Pharmacy,45176,154,371,-40.5,"9,194","9,717",74.1,"$66,363.00 ","$91,922.00 ",305 W Main St,Williamsburg,"305 W Main St, Williamsburg, OH 45176, USA","39.054224,-84.053833",45176,ChIJrz8fs6gbQYgRoaCM3VmUEa4,39025-WILLIAMSBURG VLG C
Genoa Healthcare,45102,272,550,-33.1,"23,067","24,772",,"$76,015.00 ","$91,008.00 ",43 E Main St #113,Amelia,"43 E Main St #113, Amelia, OH 45102, USA","39.0264741,-84.21449179999999",45102,ChIJrVbRtQsHQYgRRHG16S5uYxs,39025-BATAVIA TWP O
Fitzgerald's Pharmacy (Seaman),45679,68,337,-66.3,"2,470","2,676",75.7,"$46,792.00 ","$61,597.00 ",17860 OH-247,Seaman,"17860 OH-247, Seaman, OH 45679, USA","38.9417323,-83.5719463",45679,ChIJu01KQCLNRogRS59ky1U8sIE,39001-SEAMAN VLG
Kratzer's Hometown Pharmacy Mount Orab,45154,146,552,-57.3,"8,391","9,094",74.7,"$77,345.00 ","$85,503.00 ",155 North Point Dr,Mt Orab,"155 North Point Dr, Mt Orab, OH 45154, USA","39.043552,-83.922872",45154,ChIJh3ioNJQjQYgR0IA7tC2VyvA,39015-MT ORAB NORTH
HealthSource of Ohio Seaman Pharmacy,45679,85,519,-71.6,"2,470","2,676",,"$46,792.00 ","$61,597.00 ",218 Stern Dr,Seaman,"218 Stern Dr, Seaman, OH 45679, USA","38.9299295,-83.5645582",45679,ChIJowr6FOTMRogRPM8NDrB9PDQ,39001-SCOTT TWP
Walmart Pharmacy,45245,269,460,-25.8,"18,194","19,552",78,"$73,135.00 ","$100,261.00 ",4370 Eastgate Square Dr,Cincinnati,"4370 Eastgate Square Dr, Cincinnati, OH 45245, USA","39.0901782,-84.2697309",45245,ChIJofFaSPipQYgR9CQhmYVoFR4,39025-UNION TWP G
Walmart Pharmacy,45102,165,541,-52.1,"23,067","24,772",,"$76,015.00 ","$91,008.00 ",1815 E Ohio Pike,Amelia,"1815 E Ohio Pike, Amelia, OH 45102, USA","39.015808799999995,-84.1991433",45102,ChIJiSp8axgGQYgRlxV1s-URCck,39025-PIERCE TWP D
Harness Health Pharmacy - Clermont,45103,248,675,-45.8,"34,437","36,183",,"$81,837.00 ","$101,588.00 ",2055 Hospital Dr Suite 100,Batavia,"2055 Hospital Dr Suite 100, Batavia, OH 45103, USA","39.080887,-84.14483510000001",45103,ChIJp646Up8FQYgRAxB_gVXdZis,39025-BATAVIA TWP M
HealthSource of Ohio Pharmacy - Mt. Orab,45154,151,645,-61.3,"8,391","9,094",,"$77,345.00 ","$85,503.00 ",150 Health Partners Cir,Mt Orab,"150 Health Partners Cir, Mt Orab, OH 45154, USA","39.0449811,-83.9413658",45154,ChIJdQuA9ZgiQYgR4UaToT8_VIA,39015-STERLING TWP SOUTH
Sam's Club Pharmacy,45245,269,460,-25.8,"18,194","19,552",78,"$73,135.00 ","$100,261.00 ",815 Clepper Ln,Cincinnati,"815 Clepper Ln, Cincinnati, OH 45245, USA","39.091322999999996,-84.2663978",45245,ChIJw0i9nlYHQYgRP3cPV3lMMWM,39025-UNION TWP G
CVS Pharmacy,45150,249,434,-26.8,"31,238","32,938",81.1,"$91,780.00 ","$116,737.00 ",1137 OH-131,Milford,"1137 OH-131, Milford, OH 45150, USA","39.1746135,-84.2369532",45150,ChIJUd396igAQYgRvg9J05868Wc,39025-MIAMI TWP M
Health Mart Pharmacy,45102,299,604,-33.1,"23,067","24,772",,"$76,015.00 ","$91,008.00 ",1400 OH-125,Amelia,"1400 OH-125, Amelia, OH 45102, USA","39.038027299999996,-84.2312024",45102,ChIJK9Ix9LMHQYgR2LFc95MHZfU,39025-BATAVIA TWP N
Affirmed Medical Services,45150,249,434,-26.8,"31,238","32,938",81.1,"$91,780.00 ","$116,737.00 ",5591 Autumn Wynd Ln,Milford,"5591 Autumn Wynd Ln, Milford, OH 45150, USA","39.1717168,-84.2418667",45150,ChIJ80kORCQAQYgRZ09aEwygt_A,39025-MIAMI TWP M
The Little Clinic,45102,137,324,-40.2,"23,067","24,772",,"$76,015.00 ","$91,008.00 ",262 W Main St,Amelia,"262 W Main St, Amelia, OH 45102, USA","39.0361145,-84.23321609999999",45102,ChIJbZXTQbQHQYgRxaTxr-IsRSE,39025-PIERCE TWP C
The Little Clinic,45154,146,552,-57.3,"8,391","9,094",,"$77,345.00 ","$85,503.00 ",210 Sterling Run Blvd,Mt Orab,"210 Sterling Run Blvd, Mt Orab, OH 45154, USA","39.0395981,-83.92412089999999",45154,ChIJ9XINKn0iQYgRmbxwXHw-K2E,39015-MT ORAB NORTH
COVID-19 Drive-Thru Testing at Walgreens,45102,272,550,-33.1,"23,067","24,772",,"$76,015.00 ","$91,008.00 ",57 W Main St,Amelia,"57 W Main St, Amelia, OH 45102, USA","39.0309014,-84.2209089",45102,ChIJq99GRzYGQYgRoDM0k3iK4wQ,39025-BATAVIA TWP O
Blake Pharmacy Inc.,45660,146,524,-55.8,"6,997","7,795",74.2,"$54,904.00 ","$77,483.00 ",103 N Main St,Peebles,"103 N Main St, Peebles, OH 45660, USA","38.949261899999996,-83.4060543",45660,ChIJ6StqJELFRogRWMJ4JKshMms,39001-PEEBLES VLG
Adams County Veterinary Services - Dr. Dan Meakin,45693,145,406,-46.9,"7,646","8,262",,"$45,556.00 ","$65,918.00 ",125 S Manchester St,West Union,"125 S Manchester St, West Union, OH 45693, USA","38.793098199999996,-83.5509678",45693,ChIJOewfRBm1RogRiO1TW5CLkwE,39001-WEST UNION B
Blackburn's Pharmacy LLC,45662,159,235,-19,"25,143","26,436",72.2,"$37,345.00 ","$57,022.00 ",3520 Rhodes Ave,New Boston,"3520 Rhodes Ave, New Boston, OH 45662, USA","38.745989,-82.9445856",45662,ChIJlYEJgeSKRogRI0b1nWj8Sg4,39145-NEW BOSTON 1-A
Minford Pharmacy,45653,100,360,-55.7,"3,475","3,705",75.3,"$78,625.00 ","$96,563.00 ",8746 OH-335,Minford,"8746 OH-335, Minford, OH 45653, USA","38.8582031,-82.8572707",45653,ChIJ2V940i5ZRogRErNbXUBErF4,39145-HARRISON A
Holzer Family Pharmacy - Jackson,45640,148,417,-46.9,"15,205","16,156",70.8,"$62,813.00 ","$82,398.00 ",280 Pattonsville Rd,Jackson,"280 Pattonsville Rd, Jackson, OH 45640, USA","39.0507181,-82.6155143",45640,ChIJz4x8yAVLRogRhqRsoQZvSiY,39079-JACKSON 3-A
