License: Number,Type,Licensee,Licensee Doing Business As,Public Address Street,Public Address City,Public Zip,Public Address - County,Issue Date,Expiration Date,Effective Date
MMD.0700098,Medical Marijuana Dispensary - Certificate of Operation,Campbell Hill Ventures LLC,BEYOND / HELLO,693 Old State Route 74,Cincinnati,45245,Clermont,12/29/2022,7/1/2025,12/29/2022
MMD.0700104,Medical Marijuana Dispensary - Certificate of Operation,"The Forest Cincinnati, LLC",The Forest Cincinnati,4412 Mount Carmel Tobasco Rd,Cincinnati,45244-2201,Clermont,8/28/2023,7/1/2025,8/28/2023
MMD.0700140,Medical Marijuana Dispensary - Certificate of Operation,"Cascade Southern Ohio, LLC",Uplift,401 Rivers Edge,Milford,45150-2589,Clermont,4/19/2023,7/1/2025,4/19/2023
MMD.0700007,Medical Marijuana Dispensary - Certificate of Operation,"Farmaceutical RX 2, LLC",FRX Dispensary East Liverpool,1865 Dresden Ave,East Liverpool,43920-9059,Columbiana,2/6/2019,7/1/2025,7/2/2023
MMD.0700089,Medical Marijuana Dispensary - Certificate of Operation,"Ohio Cannabis Clinic, LLC",Ohio Provisions,23024 County Road 621 Ste 1,Coshocton,43812-8969,Coshocton,12/21/2021,7/1/2025,7/2/2023
MMD.0700139,Medical Marijuana Dispensary - Certificate of Operation,Ohio Griz LLC,Story of Coshocton,115 N 2nd St,Coshocton,43812-1560,Coshocton,5/25/2023,7/1/2025,5/25/2023
MMD.0700092,Medical Marijuana Dispensary - Certificate of Operation,"Amplify CH, LLC",Amplify,1782 Coventry Rd,Cleveland Heights,44118-1630,Cuyahoga,3/16/2022,7/1/2025,7/2/2023
MMD.0700173,Medical Marijuana Dispensary - Certificate of Operation,Amplify Bedford LLC,Amplify,22803 Rockside Rd,Bedford,44146-1510,Cuyahoga,12/15/2023,7/1/2025,12/15/2023
MMD.0700158,Medical Marijuana Dispensary - Certificate of Operation,"Twice The Wellness, LLC",Ayr Dispensary,"27900 Chagrin Blvd, Suites 900B and 900C",Woodmere,44122,Cuyahoga,10/30/2023,7/1/2025,10/30/2023
MMD.0700157,Medical Marijuana Dispensary - Certificate of Operation,Good River Wellness LLC,Good River Wellness,27101 Euclid Ave,Euclid,44132-3409,Cuyahoga,10/26/2023,7/1/2025,10/26/2023
MMD.0700160,Medical Marijuana Dispensary - Certificate of Operation,"Green Power OH, LLC",Green Power,13429 Lakewood Heights Blvd,Cleveland,44107-6220,Cuyahoga,6/3/2024,7/1/2025,6/3/2024
MMD.0700164,Medical Marijuana Dispensary - Certificate of Operation,"Nectar Markets of Ohio, LLC",Nectar Medical Cannabis Dispensary,21100 Saint Clair Ave,Euclid,44117-1022,Cuyahoga,4/17/2023,7/1/2025,4/17/2023
MMD.0700026,Medical Marijuana Dispensary - Certificate of Operation,"GTI Ohio, LLC",RISE Cleveland,1222 Prospect Ave E,Cleveland,44115-1210,Cuyahoga,7/30/2019,7/1/2025,7/2/2023
MMD.0700052,Medical Marijuana Dispensary - Certificate of Operation,"GTI Ohio, LLC",RISE Lakewood Detroit,18607 Detroit Ave,Lakewood,44107-3205,Cuyahoga,3/11/2020,7/1/2025,7/2/2023
MMD.0700047,Medical Marijuana Dispensary - Certificate of Operation,"GTI Ohio 2, LLC",Rise Lakewood Madison,11818 Madison Ave,Lakewood,44107-5252,Cuyahoga,12/18/2019,7/1/2025,7/2/2023
MMD.0700159,Medical Marijuana Dispensary - Certificate of Operation,"Shangri-La Cleveland, LLC",Shangri-La Dispensary,4618 Saint Clair Ave,Cleveland,44103-1206,Cuyahoga,8/28/2023,7/1/2025,8/28/2023
MMD.0700086,Medical Marijuana Dispensary - Certificate of Operation,BCR Retail Cleveland LLC,Terrasana,10500 Antenucci Blvd Ste 200,Garfield Heights,44125,Cuyahoga,10/19/2021,7/1/2025,7/2/2023
MMD.0700095,Medical Marijuana Dispensary - Certificate of Operation,"OPC Retail II, LLC",The Landing Dispensary,1978 W 3rd St,Cleveland,44113-2525,Cuyahoga,12/6/2022,7/1/2025,12/6/2022
MMD.0700082,Medical Marijuana Dispensary - Certificate of Operation,"Greenleaf Apothecaries, LLC",,3865 Lakeside Ave E,Cleveland,44114-3843,Cuyahoga,10/1/2021,7/1/2025,7/2/2023
MMD.0700148,Medical Marijuana Dispensary - Certificate of Operation,"Theory Wellness of Ohio Retail, LLC",Theory Wellness,9915 Us Highway 127,Sherwood,43556-9001,Defiance,5/5/2023,7/1/2025,5/5/2023
MMD.0700099,Medical Marijuana Dispensary - Certificate of Operation,Bear River Acquisition Company LLC,Bear River Dispensary,26 Moore St,Delaware,43015-2027,Delaware,2/8/2023,7/1/2025,2/8/2023
MMD.0700134,Medical Marijuana Dispensary - Certificate of Operation,"Ohio Patient Access, LLC",Ascend Dispensary Outlet,6019 Milan Rd,Sandusky,44870-5869,Erie,11/29/2023,7/1/2025,11/29/2023
MMD.0700065,Medical Marijuana Dispensary - Certificate of Operation,"OPC RETAIL, LLC",Firelands Scientific,2300 University Dr E,Huron,44839-9173,Erie,5/21/2021,7/1/2025,7/2/2023
MMD.0700006,Medical Marijuana Dispensary - Certificate of Operation,"THE FOREST SANDUSKY, LLC",,5020 Milan Rd,Sandusky,44870-5844,Erie,1/14/2019,7/1/2025,7/2/2023
MMD.0700075,Medical Marijuana Dispensary - Certificate of Operation,"BCCO, LLC",Ohio Provisions,3560 Dolson Ct Ste B,Carroll,43112-8701,Fairfield,10/1/2021,7/1/2025,7/2/2023
MMD.0700154,Medical Marijuana Dispensary - Certificate of Operation,"Big Perm?s Dispensary Ohio, LLC",Debbie's Dispensary,"1100 McArthur Rd NW, Suite 1122",Jeffersonville,43128-1091,Fayette,8/10/2023,7/1/2025,8/10/2023
MMD.0700155,Medical Marijuana Dispensary - Certificate of Operation,"Amplify Dispensaries, LLC",Amplify,5304 N Hamilton Rd,Columbus,43230-1318,Franklin,2/7/2023,7/1/2025,2/7/2023
MMD.0700025,Medical Marijuana Dispensary - Certificate of Operation,"127 OH, LLC",Bloom Medicinals,1361 Georgesville Rd,Columbus,43228-3611,Franklin,7/26/2019,7/1/2025,7/2/2023
MMD.0700107,Medical Marijuana Dispensary - Certificate of Operation,Elevated Growth OH LLC,Elevated Growth,7520 High Cross Blvd,Columbus,43235-5681,Franklin,10/2/2023,7/1/2025,10/2/2023
MMD.0700130,Medical Marijuana Dispensary - Certificate of Operation,GNCO 123 LLC,Main Street Medical Cannabis,3111 E Main St,Columbus,43209-2618,Franklin,10/31/2023,7/1/2025,10/31/2023
MMD.0700077,Medical Marijuana Dispensary - Certificate of Operation,"Harvest of Ohio, LLC",Mavuno,2950 N High St,Columbus,43202-1104,Franklin,8/12/2021,7/1/2025,7/2/2023
MMD.0700150,Medical Marijuana Dispensary - Certificate of Operation,"Hempnotize, LLC",Nar Reserve,350 E Long St,Columbus,43215-1827,Franklin,6/22/2023,7/1/2025,6/22/2023
MMD.0700149,Medical Marijuana Dispensary - Certificate of Operation,Ohio Bound Inc,Ohio Bound Inc,914 Cleveland Ave,Columbus,43201,Franklin,5/23/2024,7/1/2025,5/23/2024
MMD.0700120,Medical Marijuana Dispensary - Certificate of Operation,Parkland Ventures LLC,Parkland Ventures,2765 Gender Rd,Columbus,43068,Franklin,4/2/2024,7/1/2025,4/2/2024
MMD.0700137,Medical Marijuana Dispensary - Certificate of Operation,"Cherokee Remedies 4, LLC",Saphyre,4066 Morse Rd,Columbus,43230-1448,Franklin,8/8/2023,7/1/2025,8/8/2023
MMD.0700076,Medical Marijuana Dispensary - Certificate of Operation,"CannAscend Ohio Columbus, LLC",Strawberry Fields,2950 E Main St,Columbus,43209-2615,Franklin,7/9/2021,7/1/2025,7/2/2023
MMD.0700087,Medical Marijuana Dispensary - Certificate of Operation,BCR Retail Grandview LLC,Terrasana,656 Grandview Ave,Columbus,43215-1120,Franklin,10/19/2021,7/1/2025,7/2/2023
MMD.0700143,Medical Marijuana Dispensary - Certificate of Operation,"OPC Retail II, LLC",The Landing Dispensary,724 W Gay St,Columbus,43222-1255,Franklin,7/24/2023,7/1/2025,7/24/2023
MMD.0700116,Medical Marijuana Dispensary - Certificate of Operation,"Trulieve OH, Inc.",Trulieve Medical Marijuana Dispensary,8295 Sancus Blvd,Columbus,43081-7508,Franklin,6/30/2023,7/1/2025,6/30/2023
MMD.0700036,Medical Marijuana Dispensary - Certificate of Operation,"Verdant Creations, LLC",Verdant Creations Columbus,1243 N Cassady Ave,Columbus,43219,Franklin,10/8/2019,7/1/2025,7/2/2023
MMD.0700081,Medical Marijuana Dispensary - Certificate of Operation,"Greenleaf Apothecaries, LLC",,115 Vine St,Columbus,43215-2307,Franklin,10/1/2021,7/1/2025,7/2/2023
MMD.0700079,Medical Marijuana Dispensary - Certificate of Operation,"Harvest of Ohio, LLC",Mavuno,4370 Tonawanda Trl,Beavercreek,45430-1951,Greene,9/21/2021,7/1/2025,7/2/2023
MMD.0700135,Medical Marijuana Dispensary - Certificate of Operation,"SEO Natural Enterprises, LLC",Backroad Wellness,5748 Glenn Hwy,Cambridge,43725-8769,Guernsey,3/30/2023,7/1/2025,3/30/2023
MMD.0700105,Medical Marijuana Dispensary - Certificate of Operation,"Ohio Patient Access, LLC",Ascend Dispensary Outlet,830 Reedy St,Cincinnati,45202-2216,Hamilton,1/3/2024,7/1/2025,1/3/2024
MMD.0700136,Medical Marijuana Dispensary - Certificate of Operation,"Nectar Markets of Ohio, LLC",Nectar Medical Cannabis Dispensary,3405 Werk Rd,Cincinnati,45211-6832,Hamilton,5/15/2023,7/1/2025,5/15/2023
MMD.0700113,Medical Marijuana Dispensary - Certificate of Operation,"Canoe Hill Ohio 3, LLC",Queen City Cannabis Medical Dispensary,3764 Montgomery Rd,Norwood,45212-3739,Hamilton,1/10/2024,7/1/2025,1/10/2024
MMD.0700156,Medical Marijuana Dispensary - Certificate of Operation,Canoe Hill Ohio LLC,Queen City Cannabis Medical Dispensary,10140 Suspension Bridge Rd,Harrison,45030-7539,Hamilton,11/30/2023,7/1/2025,11/30/2023
MMD.0700122,Medical Marijuana Dispensary - Certificate of Operation,"Canoe Hill Ohio 2, LLC",Story of Cincinnati,3950 Edwards Rd,Cincinnati,45209-1928,Hamilton,9/7/2023,7/1/2025,9/7/2023
MMD.0700147,Medical Marijuana Dispensary - Certificate of Operation,Heritage Wellness Ohio LLC,Story of Cincinnati II,3944 Edwards Rd,Cincinnati,45209-1928,Hamilton,8/22/2023,7/1/2025,8/22/2023
MMD.0700063,Medical Marijuana Dispensary - Certificate of Operation,Care Med Associates LLC,Sunnyside,5149 Kennedy Ave,Cincinnati,45213-2617,Hamilton,2/15/2021,7/1/2025,7/2/2023
MMD.0700109,Medical Marijuana Dispensary - Certificate of Operation,Aron OH LLC,The Landing Dispensary,4029 Smith Rd,Cincinnati,45209-1923,Hamilton,9/28/2023,7/1/2025,9/28/2023
MMD.0700029,Medical Marijuana Dispensary - Certificate of Operation,"Pharmacann Ohio, LLC",Verilife,5431 Ridge Ave,Cincinnati,45213-2513,Hamilton,9/4/2019,7/1/2025,7/2/2023
MMD.0700066,Medical Marijuana Dispensary - Certificate of Operation,"GreenRx, LLC",Zen Leaf Cincinnati,8420 Vine St,Cincinnati,45216-1116,Hamilton,7/1/2021,7/1/2025,7/2/2023
MMD.0700060,Medical Marijuana Dispensary - Certificate of Operation,"PharmaCann Hillsboro, LLC",Verilife,1098 N High St,Hillsboro,45133-8500,Highland,1/22/2021,7/1/2025,7/2/2023
MMD.0700071,Medical Marijuana Dispensary - Certificate of Operation,"Cannascend Alternative Logan, LLC",,245 W Main St,Logan,43138-1607,Hocking,6/30/2021,7/1/2025,7/2/2023
MMD.0700096,Medical Marijuana Dispensary - Certificate of Operation,"Jackson Pharm, LLC",Herbal Wellness Center,3 Acy Ave Ste A,Jackson,45640-8551,Jackson,12/12/2022,7/1/2025,7/2/2023
MMD.0700003,Medical Marijuana Dispensary - Certificate of Operation,"GLP Ohio, LLC",Ohio Valley Natural Relief,840 Canton Rd,Wintersville,43953-4110,Jefferson,1/14/2019,7/1/2025,7/2/2023
MMD.0700002,Medical Marijuana Dispensary - Certificate of Operation,"Cresco Labs Ohio, LLC",Sunnyside,180 Main St,Wintersville,43953-3734,Jefferson,12/12/2018,7/1/2025,7/2/2023
MMD.0700018,Medical Marijuana Dispensary - Certificate of Operation,"127 OH, LLC",Bloom Medicinals,382 Blackbrook Rd,Painesville,44077-1294,Lake,5/16/2019,7/1/2025,7/2/2023
MMD.0700131,Medical Marijuana Dispensary - Certificate of Operation,"INSA Ohio, LLC",Insa,27751 Chardon Rd,Willoughby Hills,44092-2701,Lake,5/2/2023,7/1/2025,5/2/2023
MMD.0700083,Medical Marijuana Dispensary - Certificate of Operation,"Greenleaf Apothecaries, LLC",,30133 Euclid Ave,Wickliffe,44092-1652,Lake,10/1/2021,7/1/2025,7/2/2023
MMD.0700091,Medical Marijuana Dispensary - Certificate of Operation,"Curaleaf Newark, LLC",Curaleaf,1150 N 21st St,Newark,43055-2924,Licking,12/30/2021,7/1/2025,7/2/2023
MMD.0700061,Medical Marijuana Dispensary - Certificate of Operation,Verdant Creations Newark,Sunnyside,1546 W Church St,Newark,43055-1532,Licking,2/15/2021,7/1/2025,7/2/2023
MMD.0700067,Medical Marijuana Dispensary - Certificate of Operation,"Ohio Natural Treatment Solutions, LLC",Zen Leaf Newark,1250 N 21st St,Newark,43055-3061,Licking,6/30/2021,7/1/2025,7/2/2023
MMD.0700171,Medical Marijuana Dispensary - Certificate of Operation,"NMG OH 1, LLC",FRX Elyria Craft Cannabis Medical Dispensary,709 Sugar Ln,Elyria,44035-6313,Lorain,10/11/2023,7/1/2025,10/11/2023
MMD.0700016,Medical Marijuana Dispensary - Certificate of Operation,"GTI Ohio, LLC",RISE Lorain,1920 Cooper Foster Park Rd W,Lorain,44053-3607,Lorain,5/1/2019,7/1/2025,7/2/2023
MMD.0700101,Medical Marijuana Dispensary - Certificate of Operation,"Citizen Real Estate, LLC",The Citizen by Klutch,5152 Grove Ave,Lorain,44055-3610,Lorain,1/11/2023,7/1/2025,1/11/2023
MMD.0700162,Medical Marijuana Dispensary - Certificate of Operation,CREAM Apothecaries Ohio LLC,CREAM Apothecaries Ohio LLC,914 Cleveland St,Elyria,44035,Lorain ,5/31/2024,7/1/2025,5/31/2024
MMD.0700030,Medical Marijuana Dispensary - Certificate of Operation,"127 OH, LLC",Bloom Medicinals,1238 Conant St,Maumee,43537-1608,Lucas,9/4/2019,7/1/2025,7/2/2023
MMD.0700015,Medical Marijuana Dispensary - Certificate of Operation,"GTI Ohio, LLC",RISE Toledo,3157 W Sylvania Ave,Toledo,43613-4131,Lucas,5/1/2019,7/1/2025,7/2/2023
MMD.0700133,Medical Marijuana Dispensary - Certificate of Operation,"Statewide Property Holdings Ohio, LLC",WyldSkye,3534 Dorr St,Toledo,43607-1101,Lucas,5/2/2023,7/1/2025,5/2/2023
MMD.0700174,Medical Marijuana Dispensary - Certificate of Operation,"Pure Ohio London, LLC",Pure Ohio London,920 US 42 W,London,43140,Madison,9/15/2020,7/1/2025,7/2/2023
MMD.0700151,Medical Marijuana Dispensary - Certificate of Operation,"Green Leaf Therapy, LLC",Green Leaf Therapy,93 S Bridge St,Struthers,44471-1949,Mahoning,4/25/2023,7/1/2025,4/25/2023
MMD.0700020,Medical Marijuana Dispensary - Certificate of Operation,QUEST WELLNESS OHIO II LLC,Leaf Relief,4323 Market St,Youngstown,44512-1509,Mahoning,6/20/2019,7/1/2025,7/2/2023
MMD.0700062,Medical Marijuana Dispensary - Certificate of Operation,Verdant Creations Marion,Sunnyside,326 James Way,Marion,43302-5982,Marion,2/15/2021,7/1/2025,7/2/2023
MMD.0700129,Medical Marijuana Dispensary - Certificate of Operation,"Ohio Patient Access, LLC",Ascend Dispensary Outlet,1206 Recker Rd,Piqua,45356-4114,Miami,12/22/2023,7/1/2025,12/22/2023
MMD.0700108,Medical Marijuana Dispensary - Certificate of Operation,"The Green Goat Dispensary, LLC",Ohio Cannabis Company,8866 N County Road 25a,Piqua,45356-8504,Miami,6/1/2023,7/1/2025,6/1/2023
MMD.0700145,Medical Marijuana Dispensary - Certificate of Operation,"Daily Releaf, LLC",Ayr Dispensary,4918 Airway Rd,Riverside,45431-1374,Montgomery,11/8/2023,7/1/2025,11/8/2023
MMD.0700124,Medical Marijuana Dispensary - Certificate of Operation,GRD Ohio LLC,Green Releaf,3620 Germantown St,Dayton,45417-4130,Montgomery,4/4/2023,7/1/2025,4/4/2023
MMD.0700118,Medical Marijuana Dispensary - Certificate of Operation,"Guaranteed Investments OH, LLC",Guaranteed Dispensary,1910 Wayne Ave,Dayton,45410-2133,Montgomery,5/12/2023,7/1/2025,5/12/2023
MMD.0700123,Medical Marijuana Dispensary - Certificate of Operation,OTC Ohio LLC,Off the Charts,3145 Salem Ave,Dayton,45406,Montgomery,4/11/2024,7/1/2025,4/11/2024
MMD.0700046,Medical Marijuana Dispensary - Certificate of Operation,"Pure Ohio Dayton, LLC",Pure Ohio Wellness,1875 Needmore Rd,Dayton,45414-3805,Montgomery,11/4/2019,7/1/2025,7/2/2023
MMD.0700069,Medical Marijuana Dispensary - Certificate of Operation,"Mad River Remedies, LLC",Zen Leaf Dayton,5604 Airway Rd,Riverside,45431-1506,Montgomery,7/8/2021,7/1/2025,7/2/2023
MMD.0700073,Medical Marijuana Dispensary - Certificate of Operation,"Cannascend Alternative, LLC",,333 Wayne Ave,Dayton,45410-1115,Montgomery,6/30/2021,7/1/2025,7/2/2023
MMD.0700144,Medical Marijuana Dispensary - Certificate of Operation,VC5 Holdings LLC,Verdant Creations,876 State Route 61,Marengo,43334-8712,Morrow,8/10/2023,7/1/2025,8/10/2023
MMD.0700103,Medical Marijuana Dispensary - Certificate of Operation,Southern Ohio Botanicals LLC,Southern Ohio Botanicals,15451 Us Highway 23,Waverly,45690-9338,Pike,5/19/2023,7/1/2025,5/19/2023
MMD.0700119,Medical Marijuana Dispensary - Certificate of Operation,Next-Level Operators LLC,Bliss Ohio,331 E Main St,Kent,44240-2540,Portage,4/19/2023,7/1/2025,4/19/2023
MMD.0700125,Medical Marijuana Dispensary - Certificate of Operation,"Simple AG Ohio, LLC",Supergood,554 N Chestnut St,Ravenna,44266-2259,Portage,4/4/2023,7/1/2025,4/4/2023
MMD.0700064,Medical Marijuana Dispensary - Certificate of Operation,Verdant Creations Chillicothe,Sunnyside,1641 N Bridge St,Chillicothe,45601-4106,Ross,2/15/2021,7/1/2025,7/2/2023
MMD.0700088,Medical Marijuana Dispensary - Certificate of Operation,BCR Retail Fremont LLC,Terrasana,1800 E State St,Fremont,43420-4000,Sandusky,10/19/2021,7/1/2025,7/2/2023
MMD.0700165,Medical Marijuana Dispensary - Certificate of Operation,"SEO Natural Enterprises, LLC",Backroad Wellness,3210 Rhodes Ave,New Boston,45662-4912,Scioto,6/21/2023,7/1/2025,6/21/2023
MMD.0700146,Medical Marijuana Dispensary - Certificate of Operation,"Marimed OH, LLC",Thrive Wellness Dispensary,318 W Market St,Tiffin,44883-2733,Seneca,6/7/2023,7/1/2025,6/7/2023
MMD.0700141,Medical Marijuana Dispensary - Certificate of Operation,"The Green Goat Dispensary, LLC",Ohio Cannabis Company,4016 Greentree Ave SW,Canton,44706-4015,Stark,7/19/2023,7/1/2025,7/19/2023
MMD.0700128,Medical Marijuana Dispensary - Certificate of Operation,"Citizen Real Estate, LLC",The Citizen by Klutch,401 Cherry Ave NE,Canton,44702-1154,Stark,6/23/2023,7/1/2025,6/23/2023
MMD.0700068,Medical Marijuana Dispensary - Certificate of Operation,"Mother Know's Best, LLC",Zen Leaf Canton,3224 Cleveland Ave NW,Canton,44709-2815,Stark,6/30/2021,7/1/2025,7/2/2023
MMD.0700084,Medical Marijuana Dispensary - Certificate of Operation,"Greenleaf Apothecaries, LLC",,3840 Greentree Ave SW,Canton,44706-4025,Stark,10/1/2021,7/1/2025,7/2/2023
MMD.0700045,Medical Marijuana Dispensary - Certificate of Operation,"127 OH, LLC",Bloom Medicinals,737 E North St,Akron,44305-1115,Summit,10/29/2019,7/1/2025,7/2/2023
MMD.0700112,Medical Marijuana Dispensary - Certificate of Operation,"Culture Retail Partners of Ohio, Inc.",Culture Cannabis Club,1568 E Archwood Ave,Akron,44306-3212,Summit,10/6/2023,7/1/2025,10/6/2023
MMD.0700090,Medical Marijuana Dispensary - Certificate of Operation,"Curaleaf Cuyahoga Falls, LLC",Curaleaf,1220 Buchholzer Blvd Ste C,Cuyahoga Falls,44221-5179,Summit,12/30/2021,7/1/2025,7/2/2023
MMD.0700142,Medical Marijuana Dispensary - Certificate of Operation,FRX Health of Cuyahoga Falls LLC,FRX Health,1682 State Rd,Cuyahoga Falls,44223-1304,Summit,12/19/2023,7/1/2025,12/19/2023
MMD.0700080,Medical Marijuana Dispensary - Certificate of Operation,"Greenleaf Apothecaries, LLC",,46 S Summit St,Akron,44308-1719,Summit,10/1/2021,7/1/2025,7/2/2023
MMD.0700152,Medical Marijuana Dispensary - Certificate of Operation,"B Cubed Operations Ohio, LLC",ACA Dispensary,437 E Liberty St,Hubbard,44425-2135,Trumbull,12/19/2023,7/1/2025,12/19/2023
MMD.0700074,Medical Marijuana Dispensary - Certificate of Operation,"Green Leaf Medical of Ohio II, LLC",,2932 Youngstown Rd SE,Warren,44484-5281,Trumbull,6/11/2021,7/1/2025,7/2/2023
MMD.0700100,Medical Marijuana Dispensary - Certificate of Operation,Ratio Cannabis LLC,Ratio,1145 W High Ave,New Philadelphia,44663-9618,Tuscarawas,2/14/2023,7/1/2025,2/14/2023
MMD.0700126,Medical Marijuana Dispensary - Certificate of Operation,Ohio Holistic Health LLC,Ohio Holistic Health LLC,215 W 5th St,Delphos,45833-1417,Van Wert,4/10/2024,7/1/2025,4/10/2024
MMD.0700093,Medical Marijuana Dispensary - Certificate of Operation,"Therapeutic Healing Care II, LLC",Ethos,1525 Genntown Dr Ste B5,Lebanon,45036-7323,Warren,4/25/2022,7/1/2025,7/2/2023
MMD.0700121,Medical Marijuana Dispensary - Certificate of Operation,Deaver Ohio LLC,The Landing Dispensary,1312 SR-63,Monroe,45050,Warren,5/16/2023,7/1/2025,5/16/2023
MMD.0700070,Medical Marijuana Dispensary - Certificate of Operation,"Cannascend Alternative, LLC",,414 Greene St,Marietta,45750-3214,Washington,6/30/2021,7/1/2025,7/2/2023
MMD.0700132,Medical Marijuana Dispensary - Certificate of Operation,"Nectar Markets of Ohio, LLC",Nectar Medical Cannabis Dispensary,1011 S Main St,Bowling Green,43402-4720,Wood,3/10/2023,7/1/2025,3/10/2023
MMD.0700058,Medical Marijuana Dispensary - Certificate of Operation,"Glass City Alternatives, LLC",Zen Leaf Bowling Green,1155 N Main St,Bowling Green,43402-1310,Wood,12/29/2020,7/1/2025,7/2/2023
MMD.0700102,Medical Marijuana Dispensary - Certificate of Operation,"The Green Goat Dispensary, LLC",Ohio Cannabis Company,17043 County Highway 113,Harpster,43323-9308,Wyandot,3/15/2023,7/1/2025,3/15/2023
