Business_Name,Address,Geo,Operational_Status,Places_ID
PrimaryPlus-Pharmacy (KENTON STATION DRIVE),"927 Kenton Station Dr, Maysville, KY 41056, USA","38.6396984,-83.80600900000002",OPERATIONAL,ChIJ8QpXg99aQYgRUtW58qEdEMc
Mason Family Drug,"912 Kenton Station Dr, Maysville, KY 41056, USA","38.6389707,-83.806039",OPERATIONAL,ChIJCzcjkN9aQYgRfF-YKp0MkJw
PrimaryPlus-Pharmacy Flemingsburg,"520 Elizaville Ave, Flemingsburg, KY 41041, USA","38.4202866,-83.7442337",OPERATIONAL,ChIJI2pKiTb9Q4gRU36e9I3LywQ
Bristow Pharmacy,"100 Main St, Ripley, OH 45167, USA","38.74579,-83.845231",OPERATIONAL,ChIJ7-DJD6tGQYgRhL7TM-pNGeg
Dean's Pharmacy,"109 Locust St, Brooksville, KY 41004, USA","38.6827329,-84.0667103",OPERATIONAL,ChIJf_T79XEfQogRP3sxwFEgXeQ
"Jerry D. Judd, R","55 Foundation Drive, Flemingsburg, KY 41041, USA","38.421952399999995,-83.751547",OPERATIONAL,ChIJZ1UwLpP8Q4gRMjvBVdVHKrk
PrimaryPlus-Bracken County,"1551 Augusta Chatham Rd, Augusta, KY 41002, USA","38.734813599999995,-84.0142745",OPERATIONAL,ChIJbYVTIuRrQYgRM1IEnpNQwT4
PrimaryPlus-Flemingsburg,"520 Elizaville Ave, Flemingsburg, KY 41041, USA","38.420165399999995,-83.7444036",OPERATIONAL,ChIJQSNaOrn8Q4gRCdllJTrf1NU
PrimaryPlus-Pharmacy (TUCKER DRIVE),"555 Tucker Dr, Maysville, KY 41056, USA","38.627516199999995,-83.7992417",OPERATIONAL,ChIJk_Dqd2BbQYgRg0VtMjfAobU
Maysville OB/GYN Family Health Center Pharmacy,"927 Kenton Station Dr, Maysville, KY 41056, USA","38.6390659,-83.8053831",OPERATIONAL,ChIJB1uIxkNbQYgRSAIfMg3c-TU
COVID-19 Drive-Thru Testing at Walgreens,"1160 U.S. Hwy 68, Maysville, KY 41056, USA","38.638087399999996,-83.7858089",OPERATIONAL,ChIJWfj9rpJbQYgRjn1Z2S41fVU
Hospice of Hope,"909 Kenton Station Dr, Maysville, KY 41056, USA","38.639010999999996,-83.804694",OPERATIONAL,ChIJz0Dckd9aQYgRnBzb3gH62Pc
Lewis County Primary Care Center,"211 KY-59, Vanceburg, KY 41179, USA","38.582437999999996,-83.3274315",OPERATIONAL,ChIJlQAKGHKjRogRaPwygtlXywE
Walmart Pharmacy,"11217 State Rte 41, West Union, OH 45693, USA","38.7845741,-83.56419439999999",OPERATIONAL,ChIJ8zuHXRG1RogRlDkkcgm_HR0
Noble's Pharmacy,"162 Garrison Ln, Garrison, KY 41141, USA","38.606043899999996,-83.1737843",OPERATIONAL,ChIJg_unkfGZRogRbICHthwzl-c
Osman Pharmacy,"89 2nd St, Vanceburg, KY 41179, USA","38.601213699999995,-83.3162404",OPERATIONAL,ChIJJRD54myjRogR2BwJjDR_Vf4
SOMC Vanceburg Pharmacy,"246 Commonwealth Rd, Vanceburg, KY 41179, USA","38.593227,-83.3477999",OPERATIONAL,ChIJe8K8BZmjRogRAf14Qk4rQHE
Blake Pharmacy and Radio Shack,"206 N Market St, West Union, OH 45693, USA","38.7949142,-83.5455607",OPERATIONAL,ChIJefoUFpy1RogRAURZkfkGMDk
SOMC Pharmacy West Union,"90 CIC Blvd, West Union, OH 45693, USA","38.786999900000005,-83.55775179999999",OPERATIONAL,ChIJZQmSeCC1RogR1lcsn5H21wk
PrimaryPlus-Vanceburg,"211 KY-59, Vanceburg, KY 41179, USA","38.582558299999995,-83.3273933",OPERATIONAL,ChIJlQAKGHKjRogRIcHqFVF_hT8
SOMC West Union Family Health Center,"90 CIC Blvd, West Union, OH 45693, USA","38.7870566,-83.55775419999999",OPERATIONAL,ChIJhUIlLpy1RogRBqj6FTgZdaM
Option Care Health,"4380 13th St, Ashland, KY 41102, USA","38.450594599999995,-82.67613449999999",OPERATIONAL,ChIJt83mHER2RogRj2vwqxxEp2A
Walk Up Pharmacy,"Portsmouth, OH 45662, USA","38.736372599999996,-82.9958896",OPERATIONAL,ChIJn2JtgICMRogRpsIvdnTbLIw
Kroger Pharmacy,"811 Gay St, Portsmouth, OH 45662, USA","38.7361053,-82.9955694",OPERATIONAL,ChIJIyWZeoCMRogRUNVc0WktyH4
Walgreens Pharmacy,"1900 Argillite Rd, Flatwoods, KY 41139, USA","38.522005799999995,-82.7170884",OPERATIONAL,ChIJAWAcoT9xRogRR3gJg2tOoN8
Walgreens Pharmacy,"933 Blackburn Ave, Ashland, KY 41101, USA","38.4661287,-82.6587157",OPERATIONAL,ChIJ47Asxqp3RogRnmsJiLsldxk
UK King's Daughters Family Pharmacy,"613 23rd St Suite 110, Ashland, KY 41101, USA","38.4712512,-82.6334237",OPERATIONAL,ChIJdxHfkbtEQogR683uaOfPAxM
Walmart Pharmacy,"351 River Hill Dr, Ashland, KY 41101, USA","38.4855606,-82.6581338",OPERATIONAL,ChIJG5hMsSR0RogRzecleBcfhOA
CVS Pharmacy,"2409 Argillite Rd, Flatwoods, KY 41139, USA","38.5167913,-82.7233002",OPERATIONAL,ChIJwbFF5bFwRogR5AQ54XDEWOg
Marshall Pharmacy,"1600 Medical Center Dr, Huntington, WV 25701, USA","38.4091563,-82.426795",OPERATIONAL,ChIJhwVcGyoIRogRN1-22JuZqZ0
McMeans Pharmacy,"2920 Carter Ave, Ashland, KY 41101, USA","38.4687737,-82.6244128",OPERATIONAL,ChIJNe1CBUl0RogRmgXsgIhWDBY
Daniels Pharmacy,"2205 Argillite Rd, Flatwoods, KY 41139, USA","38.5189936,-82.72180139999999",OPERATIONAL,ChIJlY_DVU9xRogRIvOrUEbpeH8
CVS Pharmacy,"1221 Lexington Ave, Ashland, KY 41101, USA","38.4764011,-82.6467932",OPERATIONAL,ChIJBawtvCd0RogRBWP2ldOETmo
Clays Pharmacy,"3513 Court St, Catlettsburg, KY 41129, USA","38.4038025,-82.6006005",OPERATIONAL,ChIJaZfcCjV1RogRpKM-NLarpaY
Franklin Furnace Pharmacy,"561 Norwich Ave #8892, Franklin Furnace, OH 45629, USA","38.6242006,-82.84517009999999",OPERATIONAL,ChIJZzlZdRVjRogRCUfGP-KxnlE
CVS Pharmacy,"320 Jefferson St, Ironton, OH 45638, USA","38.5313784,-82.68153840000001",OPERATIONAL,ChIJPRa_MRhxRogR3abP5Err5eg
Coal Grove Pharmacy,"600 Marion Pike, Coal Grove, OH 45638, USA","38.500991899999995,-82.64318589999999",OPERATIONAL,ChIJp5jrUQF0RogR7IzAGvEAWK0
Gahm's Pharmacy II,"1565 Galena Pike, West Portsmouth, OH 45663, USA","38.755693799999996,-83.0242933",OPERATIONAL,ChIJUxBwjeiMRogRl3D-Pvvc5gY
McMeans Pharmacy,"708 4th St E, South Point, OH 45680, USA","38.4141386,-82.58217859999999",OPERATIONAL,ChIJEVGMlfTfRYgRgwvGXRhAfUU
Kroger Pharmacy,"9101 Ohio River Rd, Wheelersburg, OH 45694, USA","38.7129993,-82.8580257",OPERATIONAL,ChIJOftT9A5hRogRcaP5elgOKjA
Stultz Pharmacy,"1615 Ashland Rd, Greenup, KY 41144, USA","38.567885499999996,-82.82644619999999",OPERATIONAL,ChIJKRkRBnd7RogRJT_xN9Dua7c
Kroger Pharmacy,"711 12th St, Ashland, KY 41101, USA","38.477675,-82.6496932",OPERATIONAL,ChIJ4_YyiSd0RogRPLiOcBGNgu0
Kroger Pharmacy,"370 Diederich Blvd, Ashland, KY 41101, USA","38.5014221,-82.6815429",OPERATIONAL,ChIJ37P5HNJ2RogRr1xnHdgeHIU
Smith's Pharmacy,"741 2nd St, Portsmouth, OH 45662, USA","38.7318162,-82.99715180000001",OPERATIONAL,ChIJkb9SpX6MRogRgb1MH-DzS1E
Morton's Pharmacy,"1865 Coles Blvd, Portsmouth, OH 45662, USA","38.7564,-82.9759",OPERATIONAL,ChIJn8_55kGLRogRPlPqBIyBzEc
Contours Express,"2312 13th St, Ashland, KY 41101, USA","38.465333099999995,-82.6587523",OPERATIONAL,ChIJuwzC5Id2RogRZvmwmqBxltI
Fruth Pharmacy,"1848 OH-141, Ironton, OH 45638, USA","38.527045,-82.664045",OPERATIONAL,ChIJI3wK29lzRogRd6h7v5WoBrA
SOMC Pharmacy South Campus,"1248 Kinneys Ln, Portsmouth, OH 45662, USA","38.7461239,-82.98729070000002",OPERATIONAL,ChIJydwgU3uLRogRm-p0IwAmWoA
CVS Pharmacy,"802 11th St, Portsmouth, OH 45662, USA","38.7387953,-82.9959441",OPERATIONAL,ChIJU63yVYCMRogRjb9UtQcAoMg
Ram Pharmacy,"719 Greenup Ave, Raceland, KY 41169, USA","38.5420674,-82.7283825",OPERATIONAL,ChIJg0BGqhFxRogRmYTFLrL47Jo
Wright Pharmacy,"82 Biggs Ln, South Shore, KY 41175, USA","38.7279462,-82.93232359999999",OPERATIONAL,ChIJXdsa1l2KRogRdB7t2KsBa8Q
CVS Pharmacy,"1109 Ironton Hills Dr, Ironton, OH 45638, USA","38.5433673,-82.6749248",OPERATIONAL,ChIJ7Z0YGQxxRogRSZi1SUlrGEw
Gallaher's Pharmacy,"2914 Blackburn Ave, Ashland, KY 41101, USA","38.4559146,-82.6463125",OPERATIONAL,ChIJcdKIrNd1RogRo6mTPHs9jVI
SOMC Pharmacy Main Campus,"1805 27th St, Portsmouth, OH 45662, USA","38.7531509,-82.97778319999999",OPERATIONAL,ChIJL6YsWbOLRogRRH6xtlFD2Ms
CVS Pharmacy,"2812 Scioto Trail, Portsmouth, OH 45662, USA","38.757522699999996,-82.99046919999999",OPERATIONAL,ChIJz3Gz0V-LRogRDyXwyPWXDeg
PrimaryPlus-Pharmacy South Shore,"142 Depot Dr, South Shore, KY 41175, USA","38.7214398,-82.9609516",OPERATIONAL,ChIJLyNCLJ6LRogRpwhMFItrvJM
Clinical Pharmacy Services LLC,"117 Kittle Rd, Wheelersburg, OH 45694, USA","38.7574621,-82.7975683",OPERATIONAL,ChIJZ_HcpGdnRogRqYa0uYhucbU
"J A. Pierron, R","902 Washington St, Portsmouth, OH 45662, USA","38.7375779,-82.9982378",OPERATIONAL,ChIJkeTXtYCMRogRjlO9sosBsFE
Genoa Healthcare,"225 Carlton Davidson Ln Room 1, Coal Grove, OH 45638, USA","38.5035313,-82.64838639999999",OPERATIONAL,ChIJhWi02Ah3RogRWhd00X1FUHk
Walmart Pharmacy,"4490 Gallia St, New Boston, OH 45662, USA","38.753021,-82.9251127",OPERATIONAL,ChIJoQqhQ76KRogRGw5FBw4CieU
CVS Pharmacy,"4207 Gallia St, New Boston, OH 45662, USA","38.7556484,-82.93225269999999",OPERATIONAL,ChIJ6XbnpsGKRogReCvHb34cNeM
R X Refill Services,"2402 Adams Ave, Huntington, WV 25704, USA","38.408066000000005,-82.495278",OPERATIONAL,ChIJR8jQyODhRYgRn3m0jKE_uS8
Walmart Pharmacy,"354 Private Dr # 1, South Point, OH 45680, USA","38.410849,-82.5238261",OPERATIONAL,ChIJgxm67-yXOIgRnxXzt2b2bcs
The Medicine Shoppe Pharmacy,"2402 Adams Ave, Huntington, WV 25704, USA","38.408066000000005,-82.495278",OPERATIONAL,ChIJR8jQyODhRYgRbvWv_cCCjeo
Sam's Club Pharmacy,"432 Walmart Way, South Point, OH 45680, USA","38.411336,-82.52308459999999",OPERATIONAL,ChIJGRrkbyrgRYgRWacrUX1PP8o
Holzer family pharmacy,"Huntington, WV 25701, USA","38.4192496,-82.44515400000002",OPERATIONAL,ChIJOwnQSPIJRogRGcKmrZrSYpM
CVS Pharmacy,"447 Washington Ave, Huntington, WV 25701, USA","38.4166861,-82.463224",OPERATIONAL,ChIJOYRcq1QJRogRj2-AS1Xrkj4
Kroger Pharmacy,"19 7th Ave, Huntington, WV 25701, USA","38.413811599999995,-82.4567512",OPERATIONAL,ChIJ0zyYG-EJRogRv3T5EYoMDX0
Pharma Logic,"5842B Davis Creek Rd, Barboursville, WV 25504, USA","38.408535799999996,-82.31999429999999",OPERATIONAL,ChIJfYROO64ARogROEUo4UN1HP4
Fruth Pharmacy,"125 7th Ave, Huntington, WV 25701, USA","38.4141622,-82.4553801",OPERATIONAL,ChIJuSCZ3uAJRogRlHiyxJQaeq0
"PharMerica – Huntington, WV","78 Perrywinkle Lane, Huntington, WV 25702, USA","38.427152899999996,-82.29261799999999",OPERATIONAL,ChIJ11VaQM8ARogR_eOFxx6VdKw
Medical Arts Pharmacy,"949 6th Ave, Huntington, WV 25701, USA","38.4181597,-82.4415444",OPERATIONAL,ChIJwx1BaNAJRogRsKsIge3ijC8
CVS Pharmacy,"505 20th St, Huntington, WV 25703, USA","38.422642499999995,-82.42262989999999",OPERATIONAL,ChIJleUKxzAIRogRx04L77H0L5w
Walmart Pharmacy,"3333 US-60, Huntington, WV 25705, USA","38.407480199999995,-82.37471080000002",OPERATIONAL,ChIJvTF7xP0HRogRHUHW9Q5mtWw
Kroger Pharmacy,"2627 5th Ave, Huntington, WV 25702, USA","38.4252688,-82.406736",OPERATIONAL,ChIJ3RaSBxUIRogRN9bLIxdfSdQ
Valley Health - Pharmacy East Huntington,"3377 US-60 Department F, Huntington, WV 25705, USA","38.410569599999995,-82.3728117",OPERATIONAL,ChIJQwC0NfEHRogReFemQs6ASl4
CVS Pharmacy,"219 3rd Ave, Chesapeake, OH 45619, USA","38.4282919,-82.453576",OPERATIONAL,ChIJNYxn1cEJRogRrk6KmwzkMI8
Valley Health - Pharmacy Huntington,"1301 Hal Greer Boulevard Department F, Huntington, WV 25701, USA","38.4104504,-82.42887549999999",OPERATIONAL,ChIJwQobWioIRogR2wpIcpzHKp4
CVS Pharmacy,"5179 US-60, Huntington, WV 25705, USA","38.412228999999996,-82.344087",OPERATIONAL,ChIJ4Y-O_REHRogRkzvh5k2yh4M
Walgreens Pharmacy,"6414 U.S. Route 60 E, Barboursville, WV 25504, USA","38.4154604,-82.29919149999999",OPERATIONAL,ChIJSaMuf7MARogRjfiy2FyVUtk
PursueCareRx,"1308 4th Ave, Huntington, WV 25701, USA","38.422269799999995,-82.43655590000002",OPERATIONAL,ChIJJ04VBM8JRogRIW6p07sHUwU
The Pharmacy @ HIMG,"5170 US-60 #150, Huntington, WV 25705, USA","38.4150274,-82.34512029999999",OPERATIONAL,ChIJr_VuwXkHRogR-IQMddmPlo8
CVS Pharmacy,"2901 5th Ave, Huntington, WV 25702, USA","38.426977300000004,-82.3978511",OPERATIONAL,ChIJe6T7Ng0IRogRv3kMcH1UH1I
Marshall Pharmacy,"Erma Ora Byrd Clinical Center, 1249 15th St 2nd floor, Huntington, WV 25701, USA","38.410882,-82.43035019999999",OPERATIONAL,ChIJozGZ5yoIRogRzDXxg-lb8vo
Holzers family pharmacy,"5190 US-60 E, Huntington, WV 25705, USA","38.4144358,-82.3429541",OPERATIONAL,ChIJ6wEHkAEHRogRA_JgFwWxu9w
St Mary's Pharmacy,"2900 1st Ave, Huntington, WV 25702, USA","38.432355,-82.4006689",OPERATIONAL,ChIJ69_-xW0IRogRgWZwg8t9pqY
Kroger Pharmacy,"6306 County Rd 107, Proctorville, OH 45669, USA","38.4369679,-82.3867965",OPERATIONAL,ChIJqUOnJpTZNYgRWJyGgBvpxt4
Walmart Pharmacy,"25 Nichols Dr, Barboursville, WV 25504, USA","38.4214134,-82.257055",OPERATIONAL,ChIJLbIhcl8ARogRj2VYT7HuoJY
Kroger Pharmacy,"5465 U.S. Route 60 E, Barboursville, WV 25504, USA","38.414035,-82.3043824",OPERATIONAL,ChIJk1mtgrMARogRLg66BkDOrcg
Genoa Healthcare,"55 Donohoe Dr, Huntington, WV 25705, USA","38.410479599999995,-82.3737218",OPERATIONAL,ChIJP0W4JAAHRogRtn4MgjIn8ys
Walgreens Pharmacy,"1138 Hal Greer Boulevard, Huntington, WV 25701, USA","38.4119846,-82.4281554",OPERATIONAL,ChIJPTpCuSsIRogRvimtDsaRjUc
Walmart Pharmacy,"167 Progress Wy, Hurricane, WV 25526, USA","38.440995199999996,-82.02234729999999",OPERATIONAL,ChIJvcI26meySIgRHncU4j200n4
Fruth Pharmacy,"3109 Teays Valley Road, Hurricane, WV 25526, USA","38.434812799999996,-82.0141646",OPERATIONAL,ChIJwX2MzPazSIgR1DoypRkK0f4
Walgreens Pharmacy,"3000 Teays Valley Road, Hurricane, WV 25526, USA","38.4354468,-82.0176709",OPERATIONAL,ChIJt_VgjUKySIgRxnmEjl8Jqiw
CVS Pharmacy,"3901 Teays Valley Road, Hurricane, WV 25526, USA","38.44686110000001,-81.95192229999999",OPERATIONAL,ChIJEbuUtgm0SIgRkDv-OXMFf8o
UniqCare Pharmacy,"1797 Teays Valley Road, Hurricane, WV 25526, USA","38.442644099999995,-81.9855844",OPERATIONAL,ChIJhVC2xAi0SIgRGBzTEawNdt0
Walgreens Pharmacy,"101 Goff Mountain Rd, Cross Lanes, WV 25313, USA","38.4199986,-81.7905948",OPERATIONAL,ChIJHVgCMZDLSIgRDvO-VZgY0m4
Kroger Pharmacy,"101 Great Teays Blvd, Scott Depot, WV 25560, USA","38.4513974,-81.9338739",OPERATIONAL,ChIJ_wwpP0K0SIgRShxM0RnTL3s
CVS Pharmacy,"278 E Main St, Milton, WV 25541, USA","38.4336775,-82.1241225",OPERATIONAL,ChIJ9Vn73YCrSIgRkOX_5OEjBo8
Fruth Pharmacy,"4539 Teays Valley Road, Scott Depot, WV 25560, USA","38.449996999999996,-81.9372434",OPERATIONAL,ChIJ2ype4yK0SIgRBGf-yLisjzI
Walgreens Pharmacy,"201 Roosevelt Blvd, Eleanor, WV 25070, USA","38.5332721,-81.9220579",OPERATIONAL,ChIJs2Dm6Am3SIgR3IZdzNepGf4
Walmart Pharmacy,"100 Nitro Market Pl, Cross Lanes, WV 25313, USA","38.4119015,-81.8076141",OPERATIONAL,ChIJG-SI46bLSIgRihee9gqsAcA
CAMC Teays Valley Outpatient Center Pharmacy,"3948 Teays Valley Road, Hurricane, WV 25526, USA","38.448342499999995,-81.9464184",OPERATIONAL,ChIJQfPNid21SIgRdWwqKU21KUU
CVS Pharmacy,"2070 Thundering Herd Dr, Barboursville, WV 25504, USA","38.419944799999996,-82.2849736",OPERATIONAL,ChIJQ673WL8ARogRD2cdIQ6iGPg
Kroger Pharmacy,"5450 Big Tyler Rd, Charleston, WV 25313, USA","38.4275151,-81.7865369",OPERATIONAL,ChIJ93ZrlYzLSIgRhhAXmvT9bNc
Poca Valu-Rite Pharmacy,"119c Main St, Poca, WV 25159, USA","38.4713217,-81.81403069999999",OPERATIONAL,ChIJnUQWJnPJSIgRHVv2XQqWdio
Fruth Pharmacy,"3504 Winfield Rd, Winfield, WV 25213, USA","38.5278895,-81.9021853",OPERATIONAL,ChIJ14-pQ7bJSIgRiRLCeBnXfiA
Fruth Pharmacy,"101 21st St, Nitro, WV 25143, USA","38.422565399999996,-81.8417455",OPERATIONAL,ChIJlfXZJ0PKSIgRhxBtOGvl6wY
CVS Pharmacy,"300 Liberty Square Dr, Hurricane, WV 25526, USA","38.4567246,-81.931268",OPERATIONAL,ChIJU071Kg61SIgRl7SLnf5txbc
Putnam Village Shopping Center,"Hurricane, WV 25526, USA","38.4564209,-81.92858749999999",OPERATIONAL,ChIJVVVV-SC0SIgRPe_ry0O1u7M
Senior Life Pharmacy,"5002 Elk River Rd S, Elkview, WV 25071, USA","38.423407499999996,-81.4906705",OPERATIONAL,ChIJ3aLwx5YrSYgRUkEPeN-nE7g
Walgreens Pharmacy,"42 Hafer Dr, Elkview, WV 25071, USA","38.439783899999995,-81.4864309",OPERATIONAL,ChIJr_9Zt1opSYgRQP7MJA47FPU
Walgreens Pharmacy,"4402 Pennsylvania Ave, Big Chimney, WV 25302, USA","38.4069145,-81.5409513",OPERATIONAL,ChIJn7npdLPVSIgRYPHZ4inYyzo
Good Family Pharmacy,"249 S Pinch Rd, Elkview, WV 25071, USA","38.408642199999996,-81.481095",OPERATIONAL,ChIJiWo1ZTcqSYgRSDV6923nv8E
Walgreens Pharmacy,"8 Elk Dr, Elkview, WV 25071, USA","38.4396754,-81.4864691",OPERATIONAL,ChIJm5PyiCwpSYgRRLaBnlcYFWk
Walgreens Pharmacy,"6401 Sissonville Dr, Charleston, WV 25312, USA","38.47599640000001,-81.6714645",OPERATIONAL,ChIJq6pqmMnRSIgRHK4YpA06ApU
Kines Family Pharmacy,"6097 Sissonville Dr, Charleston, WV 25312, USA","38.466788,-81.669279",OPERATIONAL,ChIJQxKCVcfRSIgRBWGoQ8NZ_Bw
Rite Aid Pharmacy,"4402 Pennsylvania Ave, Big Chimney, WV 25302, USA","38.40689280000001,-81.54096150000001",OPERATIONAL,ChIJAQfW877VSIgR1m_IOco2SKs
CVS Pharmacy,"221 Crossings Mall Rd, Elkview, WV 25071, USA","38.459165399999996,-81.4993404",OPERATIONAL,ChIJ2cDMB8YpSYgR7vCPLZ4DPhQ
Clendenin Pharmacy Inc,"10 Main St, Clendenin, WV 25045, USA","38.4891071,-81.34847099999999",OPERATIONAL,ChIJyxuJ2OQvSYgRQM8KTAnkyVs
Primary Care Pharmacy (Community Care Pharmacy of Clay),"125 Center St, Clay, WV 25043, USA","38.4747072,-81.07906899999999",OPERATIONAL,ChIJ-6wUCaxISYgR0w6UAWBh9mE
Clay Family Pharmacy,"2000 Main St, Clay, WV 25043, USA","38.4755775,-81.0837849",OPERATIONAL,ChIJN2RN1ahISYgRyYBN9S07_AM
Carl Walker Drug Store,"620 Elk St, Gassaway, WV 26624, USA","38.6740158,-80.7744682",OPERATIONAL,ChIJMcA3HwXfS4gRynCP3FHjHGY
CVS Pharmacy,"2907 State St, Gassaway, WV 26624, USA","38.658941899999995,-80.74858979999999",OPERATIONAL,ChIJ30Djx17eS4gR9DCzuBgY_Wc
COVID-19 Drive-Thru Testing at Walgreens,"173 Main St, Clay, WV 25043, USA","38.4597005,-81.084139",OPERATIONAL,ChIJU0doKchISYgRa5BkRklEpoU
Clendenin Health Center,"107 Koontz Ave Ste 200, Clendenin, WV 25045, USA","38.48974,-81.346582",OPERATIONAL,ChIJK49uTeMvSYgRk12ynWYu7rk
Cowen Pharmacy,"6815 Webster Rd, Cowen, WV 26206, USA","38.409676999999995,-80.550123",OPERATIONAL,ChIJoRXzJY_xS4gRu2cwOxwpV6s
Walmart Pharmacy,"369 Scott Fork Rd, Sutton, WV 26601, USA","38.7070851,-80.6651174",OPERATIONAL,ChIJCUywEmXbS4gRA1bxExxZB18
Community Care Pharmacy of Flatwoods,"266 Skidmore Ln, Sutton, WV 26601, USA","38.7028532,-80.6676186",OPERATIONAL,ChIJ09ZcSR3bS4gRoPWrBL0uKnA
Walgreens Pharmacy,"8193 Mall Rd, Florence, KY 41042, USA","38.9822202,-84.6507656",OPERATIONAL,ChIJwxye_vzGQYgR1nTHqbccJ6M
TriHealth Pharmacy Solutions,"4623 Wesley Ave, Cincinnati, OH 45212, USA","39.1613744,-84.4512803",OPERATIONAL,ChIJl-bS5JCyQYgR3I_62fcgApA
Kroger Pharmacy,"5080 Delhi Rd, Cincinnati, OH 45238, USA","39.0962459,-84.61278659999999",OPERATIONAL,ChIJdw52H-fJQYgRJpF6IPmy_Lc
Walton Pharmacy,"305 Mary Grubbs Hwy, Walton, KY 41094, USA","38.858079499999995,-84.6163852",OPERATIONAL,ChIJ8533UK_qQYgRNsdKLUX5fY0
Walgreens Pharmacy,"406 Main St, Cincinnati, OH 45202, USA","39.1006079,-84.5093176",OPERATIONAL,ChIJZ9P1_1qxQYgRaIok87ViS0k
Kroger Pharmacy,"635 Chestnut Dr, Walton, KY 41094, USA","38.8559796,-84.6168917",OPERATIONAL,ChIJoV3Hzd9EQogR_bMLOjYgAMw
Walgreens Pharmacy,"1601 Monmouth St, Newport, KY 41071, USA","39.083850399999996,-84.48268759999999",OPERATIONAL,ChIJcWSRVQqxQYgRkcOg96U3bWE
Kroger Pharmacy,"130 Pavilion Pkwy, Newport, KY 41071, USA","39.0901944,-84.4783772",OPERATIONAL,ChIJFWpM456xQYgR5bhQXULHDiw
Walgreens Pharmacy,"1220 Madison Ave, Covington, KY 41011, USA","39.0770607,-84.50806399999999",OPERATIONAL,ChIJA-S_yySxQYgRHL7TRmfGQc4
Kroger Pharmacy,"1751 Patrick Dr, Burlington, KY 41005, USA","39.0180528,-84.6926303",OPERATIONAL,ChIJHdsVGOLFQYgRnHZeXPy8j8A
Kroger Pharmacy,"9950 Berberich Dr, Florence, KY 41042, USA","38.957927999999995,-84.6246547",OPERATIONAL,ChIJ0w2PcEjHQYgRqJVtSvwMIUM
Walgreens Pharmacy,"7135 Beechmont Ave, Cincinnati, OH 45230, USA","39.073034899999996,-84.3621556",OPERATIONAL,ChIJhb0hAM-uQYgRnKJwk5w1F6A
Walgreens Pharmacy,"1747 Patrick Dr, Burlington, KY 41005, USA","39.0183658,-84.69033859999999",OPERATIONAL,ChIJJ6YjA-LFQYgRBvRaTI4A4F8
Walgreens Pharmacy,"1 S Viewpoint Dr, Alexandria, KY 41001, USA","38.9848529,-84.40273770000002",OPERATIONAL,ChIJ5y8VEwSlQYgR4vcc1preT3Q
Kroger Pharmacy,"3105 N Bend Rd, Hebron, KY 41048, USA","39.0639226,-84.70702480000001",OPERATIONAL,ChIJu4nb0yTPQYgRy-6OuSCc7xU
